无奈荔支何，前度来迟今又早	相思桃叶杳，主人已去客犹留
远吞山光，平挹江濑	下临无地，上出重霄
南岳云兴，出为霖雨	大江波静，退领湖山
小窗多明，俯拾即是	众山倒景，乘空欲飞
九天以上亦有陵谷	咫尺之间若接风云
四大皆空，从何处坐	独立不惧，作如是观
先觉后觉，非觉无觉	人园我园，不园名园
小筑一楼，存西爽遗迹	相离数武，即东坡古庵
读五千卷书，方入此室	饮三十日酒，还胜他人
两点金焦，到山时不如望	一庵海岳，怀古者见其人
三百本海棠花，老于乔木	四十年梁苑客，今作主人
闻多素心人，乐与数晨夕	翻疑淳朴处，自有一山川
诸天诸世界，诸星诸世界	一花一如来，一叶一如来
湖水本无愁，狂客未须浇竹叶	美人渺何许，化身犹自现莲花
干净地常来坐坐	太平对早去修修
十年河东，十年河西，切莫放年华虚度	一脚门里，一脚门外，可晓得脚步留神
不生不灭，不垢净，不增减，度十方苦，是名诸佛	无我无人，无众生，无寿者，离一切相，方见如来
不逢哥利王，何得漆身为厉	若遇秦丞相，也惊垢面风痴
若不回头，谁替你救苦救难	如能转念，何须我大慈大悲
于一毫端现宝王刹	坐微尘里转大法轮
五夜工夫，铁脊梁将勤补拙	二时粥饭，金刚屑易食难吞
上第一峰头，到处皆当撒手	空大千世界，看来尽是忘机
愿将佛手双垂下	摩得人心一样平
自在自观观自在	如来如见见如来
人无法律休平等	我有聪明不十分
受刑人且莫伤怀，此中有羑里琴弦，龙门史笔	典狱官最难称职，须要兼金刚面目，菩萨心肠
如得其情，则哀矜勿喜	有条不紊，若网之在纲
听讼吾犹人，纵到此平反，已苦下情迟上答	举头天不远，愿大家猛省，莫将私意入公门
湖山在目，玉局曾来，又七百年于兹矣	冰雪为心，科徭不扰，斯二千石之职欤
太傅佛，内翰仙，功德在民，宦迹相承私向往	道州诗，监门画，疮痍满地，虚堂危坐独徬徨
太守昔称廉，千载还珠传盛事	使君重起废，一亭流水喻澄怀
庭前草色，槛外山光，须知我辈能豪，不在雕梁画栋	墙及半肩，窗开四面，愿与吾民相见，常如白日青天
亭前古井长留，激浊扬清，澹泊要明廉使志	窗外孤峰特立，居高临下，伛偻须识老人心
门对终南，莫向此中寻捷径	地邻太乙，须知在上有仙都
拱北星辰兼上将	征西部属半通侯
剪取吴淞半江水	即是河阳一县花
大泽中云雨未兴，蛟龙尚隐	小坐处溪山相昵，鱼鸟可亲
斯道斯民，荡平正直	我用我法，俭简谦廉
大法小廉，宣我上德	湘清岳峻，式是南邦
为政戒贪，贪利贪，贪名亦贪，勿骛声华忘政事	养廉惟俭，俭己俭，俭人非俭，还从宽大保廉隅
才要真爱，名要略爱，总之己要自爱	天不敢欺，人不可欺，实于心不忍欺
充无欲害人心，不忧不惑不惧	行可以告天事，曰清曰慎曰勤
且住为佳，何必园林穷胜事	集思广益，岂惟风月助清谈
不卑小官，尝为委吏	既得天爵，奠非王臣
愿他十邑诸公，清风扇野	容我一年四季，明月锄花
不惜簿领贤劳，十步以内，必有芳草	且得琴书乐趣，数弓之地，兼种名花
麦穗如何，笑向儿童先问岁	桃花无恙，重来岭峤正行春
室有澹台，与商公事	人非安石，莫尚清谈
案上存三五卷书，虽学难博	年中食四十两俸，不养而廉
虽有此不乐	既来之则安
天子命之教	人才系此官
遵大路兮，自东自西，自南自北，为之范我驰驱，今天下车同轨	登斯堂也，如切如磋，如琢如磨，尔尚一乃心力，有志者事竟成
虽富贵不易其心，虽贫贱不移其行	以通经学古为高，以救时行道为贤
尊其所闻，行其所知，合岭南东道岭南西道人才，互相师友	博我以文，约我以礼，会汉儒经学宋儒理学宗旨，同造圣贤
同学尽知名士，不远数千里而来，讲贯切磋，实为两粤英才渊薮	置身作何等人，愿闻二三子之志，文章勋业，须用六经根柢工夫
故作轩窗挹苍翠	要将弦诵答潺湲
此真绿净不可唾	我实才薄将奈何
待其送夕阳，延素月	若已窥烟液，临沧州
见树术交荫，时鸟变声，亦复欣然有喜	待春山可望，白鸥翔翼，倘能从我游乎
何处寺飞来，天与开山留佛住	此间尘不到，我非观水亦心清
救百千万劫，具大慈悲，湖山无恙	现三十二身，说妙功德，物我同春
种菊成亩，种药成畦，此是僧家本分	有鸟休罗，有鱼休网，长留佛地生机
到此方知官是梦	前身安见我非僧
鹤去难回，留片石孤云，共参因果	我来何幸，有英雄儿女，同看江山
点灯默坐还元阁	磨墨重题大散关
太华夜碧，人闻清钟	西山朝来，致有爽气
玉局仙人留带日	赵州和尚吃茶时
二亩半在邑，二亩半在田，莫管是邑是田，海阔天空，一花一世界	众香国里来，众香国里去，何如不来不去，神行官止，千树千菩提
地接锦江，看君君臣臣，有昭烈壮缪武乡，一样大名垂宇宙	文称苏海，叹父父子子，如蓬莱瀛洲方丈，三峰灵气接神仙
一自金莲撤，太息此台空，漭漭长川，问今代读书，谁其嗣者	记曾玉笋参，仅留禅悦在，悠悠浩劫，闻公余说鬼，我欲从之
万里长征，此为祖道	大江东去，肯择细流
昔说是州今是县	大江之尾海之端
奇伟秀绝，乃在下州小邑之僻	天高气迥，尤与中秋观月为宜
海边潮至，庶徐徐闻乎	陌上花开，可缓缓归矣
远山长江，朝晖夕阴，气象万千，大观备矣	良辰美景，赏心乐事，友朋二三，共尽此娱
陂塘莲叶田田，鱼戏莲叶南莲叶北	晴雨画桥处处，人在画桥东画桥西
世间科第与风汉	槛外云山是故人
子桓南皮尽宾燕欢，丝竹并奏，觞酌流行，当此之时，忽然不自知乐逸	羲之兰亭序修禊事，仰观宇宙，俯察品类，后之览者，亦将有感于斯文
莫专问婚姻，凭他万事随缘，都是前生注定	亦兼司禄命，笑我一官需次，也当此处邀灵
府开东壁图书，文献岂徒关一邑	地接西施祠宇，美人相并有千秋
江湖满地共明月	城郭半山横断云
因树构重楼，看春阴满地，矫首凌云，道是卧龙将起	飞霞成幻境，指秋水长天，会心当日，除非孤鹜知还
飞霞不送仙人返	卧树应怜客子劳
有半点生死交情，方许入庙谒帝	无一毫光明心迹，何须稽首焚香
附圣人之末光，猛将佳儿同万古	得夫子之正气，宝刀骏马亦千秋
其文如北斗皆企焉望之，况来刺史	此地亦先生所履而过者，旧属潮阳
北客几人谪南粤	东坡到处有西湖
泉飞千尺，帝将用汝作霖雨	壁立万仞，人皆仰公若泰山
作管夷吾有所不屑	惟方正学可与为邻
生有神灵，乡里犹传骑虎异	没垂天壤，权谋翻恨徙燕书
英灵咽怒潮，遗庙低徊南渡后	羁旅哀荒屿，残疆抢壤北归时
夫子既圣矣，为人臣史载笔	后世有述焉，今天下书同文
古文仰作家，论周孔神灵，也当瞻拜门墙，于此同来问字	大笔惊雄鬼，除梵卢伯仲，可以别开径术，其他未敢抗衡
怒者谁耶？看九天云垂，四海水立	灵之来兮，有冕旒秀发，旌旆飞扬
惟神之灵，喜七鬯不惊，眼底长闲千里足	所见殊异，同骊黄莫辩，国中谁是九方皋
将军不可无马，汗马三分，洗马以来空凡马	先帝尝称子龙，从龙百战，卧龙而外一神龙
神其享之，远道驱车下丰沛	侯竟王矣，当年失策笑韩彭
君父未忘，忍饿那可遽死	干戈不靖，惟让乃能息争
汉献之朝，恨无医国	神农而后，赖有传书
奋百世下，顽廉懦立	环两山间，泉甘土肥
一道盘空，白云覆地	两山之壁，黄河中流
彭王就国南来，幻梦一场，到此地方开觉路	澧水环山东去，回头是岸，教世人莫问前程
半千扫叶人千古	六一画兰诗一囊
老不白头因水好	冬犹赤脚为师高
登楼始悟浮生梦	久坐唯闻落叶声
欲穷千里目	来看六朝山
几席三山，万顷波涛疑海上	湖天一阁，重阳风雨是江南
若耶溪上，泛者去而未休，何如游此地乎，静听争流之万壑	山阴道中，苦于应接不暇，是以建斯亭也，坐观竞秀之千岩
大江淘尽英雄，山经百战楼仍在	诗卷长留天地，人往千秋酒不空
台榭如富贵，时至则有	草水似名节，久而后成
舍南舍北皆春水	山鸟山花吾友于
入水不濡，入火不爇	与子言孝，与父言慈
藏书何止三万卷	种树须教四十围
窥藻细鱼泉脉养	踏松么鸟石卷扶
锅可销金，占一隅其中，娱老亲足矣	铁谁铸错，挥三舍使转，愿贤者助之
似闻陶令开三径	来与弥陀共一龛
令一孔毛生无限云	以诸花香而散其处
人世大难开笑口	肚皮终不合时宜
龛护白云，是大士双跌坐处	楼观沧海，惟达摩一苇杭之
藤杖一条，捉得起才放得下	禅关两扇，看不破便打不开
有独醒时，出海河声凉到枕	无可争处，联峰山色静于棋
似桃源不是桃源，志在逃名，怕屡有渔郎过访	近盘谷并非盘谷，愿为大隐，愧说与李愿同寀
皆山也，西南诸峰，林壑尤美	归来兮，幼稚盈室，童仆欢迎
窗虚五月六月寒，人在冰壶中酌酒	帘卷千山万山碧，客从图画里敲诗
击楫横槎，黄水远浮天以上	眠琴招鹤，白云留住山之阿
理池东榭，构池西廊，即此点缀工夫，记得是主人留月处	背一囊琴，携一壶酒，到这清凉境界，却好个汉口夕阳时
襟带七十二泉源，到处皆马蹄秋水	管领一百八州县，无时不虎尾春冰
老吏何能，有讼不如无讼好	小民易化，善人终比恶人多
求则可得，慎勿放弃不求，但今日将求有功，先防有过	己所不欲，切莫横加异己，愿诸公以己之意，度人之心
天视民视，天听民听	人溺己溺，人饥己饥
不出户庭，能知天下事	有好消息，说与大家听
人生唯有读书好	天下无如吃饭难
地中有山，始利大川终邑国	人间何世，即看小岛亦波澜
武有七德	备于一人
东土耶，西土耶，古木灵根不二	风动也，旙动也，清池碧水湛然
一切有为法，如梦如幻如泡影如露珠，作如是观，法尚应舍，何况非法	三昧诸相身，无人无我无众生无寿者，此何以故，身皆具足，乃大名身
自在观，观自在，无人在，无我在，问此时自家安在，知所在自然自在	如来佛，佛如来，有将来，有未来，究这身如何得来，已过来如见如来
莫道是空门，要进来须踏着实地	紧防有叉路，走错了便堕入深坑
吾道非耶，岂复出山为小草	此生休矣，乃知阅世尽沧桑
能度众生，岂独潭龙知听讲	愿闻一喝，长教海水不扬波
你眉头着甚么焦，但能守分安贫，便收得和气一团，常向众人开笑口	我肚皮这般样大，总不愁穿虑吃，只讲个包罗万物，自然百事放宽心
我读文山词，劝过此奸雄，思量仔细	神知韩子意，要扫开晦昧，突兀晴空
财自何来，果有阴曹州六炉耶，怪年年乞与人间，取之不尽	我无奢望，亦只腰缠十万贯耳，使岁岁满偿此愿，神又何难
莫笑我老巧无能，许个愿试试	那怕你多财善贾，不烧香瞧瞧
土生物以为功，故生金生水生木生火	地时行之谓顺，愿时寒时燠时雨时旸
鹤去我方来，使我登临增感慨	我来鹤又去，放鹤招隐倍苍茫
别有天地，山水清绝	略余亭台，禽鱼穆然
清清冷冷，小亭听水	穆穆皇皇，大云出山
阁势峥嵘，我来更上一层，览尽锦江春色峨眉秀	人文炳蔚，天将递兴后起，有如升庵大节子云才
麟兮我心忧，侧身天地更怀古	山从人面起，独立苍茫自咏诗
未出山时思捧日	但从龙去便为霖
筑堂不过七八尺	野航恰受两三人
地缩三弓，墙外让人行路	楼添一角，座中留客听泉
山水何灵，得名贤履迹所经，便流传八百年后	裙屐杂坐，爱此地杯流共酌，且邀约两三人来
蒸湘一水之间，于斯容与	零陵三亭而外，有此高明
孔思周情，吾道实先北学	雨奇晴好，人间又有西湖
望乡思洛下才人，贾谊上书忧汉室	列坐话江南旧事，张仪无地与怀王
汾蟹望秋肥，相期案牍余闲，古礼仿行乡饮酒	邮鸿传信稳，为道布帆无恙，新诗休唱念家山
问谁具正法眼，向义兴未结茆庵，太白未为童子以前，识得苍山真面目	愿我发菩提心，于南海曾谒普门，西湖曾参灵隐而后，来寻黄蘖老头陀
东海苍龙，出为霖雨	南岳朱鸟，上应寿星
哲嗣飞将军，七二精英，百二锁钥	寿星柱下史，五千道德，八千春秋
上千中千大千，世间生佛	德一齿一爵一，天下达尊
戊戌八月，戊申八月	我皇万年，我公万年
东阁勋猷，北门锁钥	西天生佛，南极寿星
呼吸风云，大鹏九万里而南北	沉酣泉石，灵椿八千岁为春秋
鲁敬姜之教子必以道	陶士行非此母不能生
天教与黄菊同荣，视李邺侯退归衡岳而来，刚逢一万八千日	公肯为苍生再出，到文潞国征起洛阳之岁，还报九重三十年
慰陶家贤母，踵陈氏难兄，十驾名驹，居然千里	治盲左遗经，抱终童奇策，三年大鸟，视此一鸣
童子冠军，十二年前惭此座	亚洲靖难，九千里外望吾宗
告我有行，今将远矣	勖君以道，古曰刑于
虎父无犬子	螽斯先桃夭
南山高此门并	桃夭赋之于归
君欢再有室	我颂百斯男
四万里皇图，伊古来从无一朝一统四万里	五十年天子，自今后还有九千九百五十年
行年至一万八千日	有子为四百兆中雄
七月诞生，郭汾阳曾见织女	八州作督，陶长沙亦为部民
新郎归自巴黎三万里	此月例会河鼓一双星
而耄而耋而期颐，百年祝君子偕老	曰富曰寿曰好德，五福备古人所难
人方中年，五十曰艾	天予上寿，八千为春
老大忽惊，念昔昆仑顿辔，弱水洗兵，劳劳奚补	长生有诀，笑彼马援据鞍，廉颇善饭，诩诩何为
温温恭人，母以子贵	潭潭相府，簉藏春多
知公神仙中人，勉为苍生留十稔	忆昔湖山隹处，曾陪黄菊作重阳
母为古列女	子作大将军
介寿献西母蟠桃，一千岁花，二千岁实	忘忧羡北堂萱草，四十年苦，三十年甘
同巴妇清，比陵母智	陈天保颂，代地道终
今日是普天万寿节	阿母比寸草三春晖
但愿和合百千万岁	为歌窈窕一二三章
似舅君可方何无忌	嫁女人言得王右军
关睢之终，应以麟趾	鲲鱼所变，纵为鹏抟
鸳鸯生小曾相识	鹦鹉前头不敢言
相我国家，尚书北斗	锡公纯嘏，天保南山
朝有王商威九泽	寿如召奭佐重光
助我臂求党务进步	愿君寿与天门同高
一歌陈麟之趾，再颂赋螽斯羽	嫁女须王右军，娶妻得阴丽华
著以相思结不解	赠君一枝梅方华
以是姻缘，磐石长久	大好风日，儿女清佳
将星与寿星同明，明星一路	卿月偕秋月共朗，朗月三台
美人才子有情痴，女爱男欢，祝生女皆美人，生男皆才子	圆月好花无量寿，天长地久，愿地上花常好，天上月常圆
父翰林，夫翰林，子为南斋翰林，芝诰一条冰，喜高年纱幔传经，师范莫如女师范	蜀提学，湘提学，儿又西江提学，梅花满岭雪，合两代笋班介寿，门生更有小门生
夙与贤郎相期，欲其道继胡先生，名过冒公子	来为长者致祝，惟有寿之南山石，酌以东海波
先我两年，后我四日	送君千里，愿君百康
兄弟以头腹尾擅誉	文章与梅曾张代兴
居室为人之大伦，一派真传，朱源于孔	宜家乃曰有余庆，百年偕老，夫宾其妻
臣朔未可俳优畜	蒙庄能为逍遥游
后生转瞬即衰颓，而无闻焉，安知后生可畏	翁子行年当富贵，倏又过矣，况薄翁子不为
学昌黎百无他长，只这般视茫茫，发苍苍，齿牙摇动	慕庄周万有一似，可能彀梦蘧蘧，觉栩栩，色相皆空
商瞿有五丈夫子，我只一焉，颇惜一夔犹未足	邓禹以廿四封侯，今且老矣，未知老骥竟何心
合千古之寿寿公，永保用，永保享，左鼎右彝，坐两罍轩，居然三代上	以十年之长长我，六十耆，七十老，望衡对宇，隔一条巷，有此二闲人
不福星，真福星，即此一言，可为君寿	已五十，又五十，请至百岁，再征吾文
推倒一世豪杰，开拓万古心胸，陈同甫一流人物，如是如是	醉吟几篇旧诗，闲尝数盏新酒，白香山六十岁时，仙乎仙乎
厥功首功，武昌响，长沙应	今日何日，专制死，自由生
五族一家共和，小无希腊大无美	九月一日纪念，南向潇湘西向秦
国初定时推袁，国大定时推袁，总统万岁	日出处无天子，日入处无天子，共和一家
尊洒称觞，先重阳五日	楚园奏曲，拨四弦双雷
八十告存，木公金母世欢喜	三千洗髓，春酒羔羊人寿康
三星在天，求尔新特	百年偕老，见此良人
布衣名满四海	著作寿亦千秋
上寿伏生传绝学	通经高密擅名家
盛才冠岩廊，致身福地何萧爽	真气惊户牖，学语小儿知姓名
以天下为己任	是南斗之一人
形其量者沧海	何以寿之名山
三百篇之中，兴观群怨	十九年在外，险阻艰难
宝书百二国	灵椿三千年
步自东极，至于西极	居长寿天，游化乐天
广逍遥游，身行六十万里	证菩提果，手援四百兆人
大德得无量寿	此老有当世名
二十四考中书令	万八千户冠军侯
白香山五十四官苏州，早见诗篇满吴郡	范纯仁六月中赐生日，行看制草出东坡
以玉堂客作金山主人，旌节将移，且为第一泉小住	歌鹤南飞和大江东去，茱萸未老，好补重九节清游
寿州相国寿者相	天子师傅天下师
我亦痴翁，愿再抚汝五十年，寿汝乎，抑自寿也	身临大邑，岂独有民十万户，保民者，则天保之
江南久诵轮扁手	垞北今开昼锦堂
子完牖户计	我和溪堂篇
既勤垣墉，定大门户	以蔽风雨，有此屋庐
张老曰于斯，子荆曰苟完，辛勤大庇	姑山亦无泐，零水亦不涸，富寿所原
历劫不磨，度人间世	上寿无疆，为天下春
济南博士，传中古典谟，得篇廿九	华阳真逸，对秣陵烟水，筑楼三层
南海补陀，公是诸天佛子	东方曼倩，人称陆地神仙
遗世标格，寿世翰墨	出山大云，在山清泉
东坡雅人，宜作生日	南田秋兴，相期岁寒
懋德所绥，横大海内外	斯民之望，与太傅后先
北门锁钥丈夫子	南极星辰太乙君
高冈凤凰，孤唳天表	空山松柏，共保岁寒
无可颂扬，百姓脂膏，未尝染指	有何欢喜，七旬夫妇，难得齐眉
风日和美，正江南重四节	江山委蛇，是中朝第一流
照海旌麾慑猿鸟	传家簪笏迈金张
及身强健久不达	为古文章早有闻
其人如泰山北斗	是日也天朗气清
樊修有佳人，初三月上双榭福	放翁真健者，六十年中万首诗
诗功喜与年增健	人寿欣逢月正圆
我陈祝词，日箕畴五福首富寿	天锡纯嘏，如太华九龙不骞崩
偕老恰三万六千日	知非及两四十九年
惟其通九万里以言语	故能读百二国之宝书
退而教授二三子所式	吞若云梦八九者以归
成室当共和立宪之年，国万岁，家万岁	登堂赋孔硕斯干而祝，雅一章，颂一章
大厦落成，吉梦叶长庚，知太白诞生有自	神州多事，幽栖入盘谷，问昌黎作序何如
一德赞襄，帝庇元臣同寿考	四时调燮，天生上相在春前
七十曰老而传，婚嫁今完向长愿	八千大椿之寿，德年及见子舆尊
其遭逢兼桓嫠巴妇之难，孑然一身，用支夫家全局	有姓氏并孝子忠臣不朽，报以千古，岂直上寿百年
论行在列女诸编，可陶可欧可韦柳	介厘符九畴五福，曰富曰寿曰康宁
艾不服官，松鹤比寿	谷能诒子，光鸿齐贤
此地当九渡仙楼，请与讹订道元，诗赓子寿	名家有百梅吟草，好将饵分绮里，乐傲林逋
范志贾才，基于此举	父书祖德，大其所传
投笔自雄才，可笑吾曹，毛锥子竟安所用	立功期马上，抗论先世，飞将军抑又何人
贾长沙举自茂才，此科实肇炎刘以上	杨中立辱称弟子，今日窃喜吾道之南
大汉茂材有异等之科，振拔殊尤，今视诸昔	吾湘骚赋为词章所祖，渊源忠孝，道存乎人
经学守专门，山川舆图，兼揽其要	鼓行惊特起，文学科目，克光而家
名祖有孙，嗣光文苑	经师愧我，垂老布衣
张老善颂，曰三于斯，古人且然，今人奚让	卫卿苟完，若一无与，前事不忘，后事之师
老而无闻，作绛县隐	恭则得寿，绎丹书铭
箕畴之九五福次寿	庄叟日八千岁为春
早说惠连才，天下文章已无我	差同郗鉴识，座中子弟独奇君
凤琯齐鸣，且安排别墅围棋，东山乐府	鹿车共挽，尽分付大儿文举，群季惠连
风云抟抟，匪冤即亲，世界抟抟，匪竟即争，天若有情，化竞争使大同，冤亲使平等	过去种种，日贫与贱，未来种种，日老与病，吾亦何怼，喜老病可弛力，贫贱可骄人
日月庆重光，外梱悬弧内梱帨	冈陵鲁戬谷，南山有杞北山莱
郎君本谪仙才，赋就催妆，应同李白偏怜妇	之子如秦女好，锵鸣杂珮，信是罗敷自有夫
伊吾以北，车师以西，凡走卒儿童，咸识将军揖客	盛德在庚，寿星在丙，合荐绅父老，同觞国子先生
懈竹十二筩调律吕	大椿八千岁为春秋
夫婚礼以著代也	是良月就盈数焉
不病故，不勒休，仙家亦称上等	又升官，又添寿，教谕无此下台
身行万里半天下	眼见四朝全盛时
上古大椿长不老	小山丛桂最宜秋
古礼堪征，特以非人不暖	浮生若梦，要知为欢几何
三槐旧种自王	双珠新出于浦
圣母神子，万寿无疆，复万寿无疆	昨日今朝，一佛出世，又一佛出世
八千为春，八千为秋，八方向化八风和，庆圣寿八旬逢八月	五数合天，五数合地，五世同堂五福备，正昌期五十有五年
大衍添寿，一百六日春光好	长才捧檄，七十二沽游兴浓
大挠周天，俾炽而昌期而艾	中秋昨日，愿人长寿月长圆
耆英十三人皆耄耋	大椿八千岁为春秋
吞若八九云梦耶？袖石归来，似海春愁增妙句	画得初三月影否？翦淞小隐，如花美眷驻修龄
太白当醉三万六千日	伯玉已知四十九年非
三千岁月春犹小	六一风神古所稀
已过一万八千日	应知四十九年非
今已无闻，再十年也是无闻，醉酒看花且永日	未能不惑，只一言差堪不惑，读书养气可延年
开上寿初筵，九十曰耋	后重阳一日，八千为秋
十一月十一日	八千春八千秋
介寿朋来，而我独羁千里足	倾心兄事，为君多读十年书
帝赖长君作舟楫	天留大老看湖山
宰相山中新内阁	寿星天上古长沙
襟上酒痕多，十载同舟如李郭	村边花事好，两家卜宅作朱陈
是遗老不是逸民，居东海滨，渴想斯人来日下	为隐士亦为政客，祝南山寿，会看残菊傲霜枝
遂陶令归去来心，五十亩种粳，五十亩种秫	得庄生逍遥游诀，八千岁为春，八千岁为秋
莫道古来稀，年齿已堪告杜老	若论一日长，风流直欲唤莲兄
醉即眠，醒即歌，是养生第一诀	书精品，画妙品，在吾侪有几人
记八千为一春，频年访滩上桃花，造德门谒高隐	再五十便百岁，他日撷秋来桂子，颂难老祝长生
柑圃阅春秋，问采药中山，备羡门几生福	菩提证因果，报现花南海，先大士一日生
有父命存，变凶礼为吉礼	谙姑食性，知有家必宜家
数九九梅花刚结子	四万万华族又添丁
扫眉才子，名满天下	上头夫婿，功垂江南
酿酒寿公，我所思多收数戽麦	提刀杀贼，儿之功隐若一长城
婿如羲之献之可耳	女为周南召南矣乎
裕其为仁，肃其为礼	媒者曰宣，卜者曰祥
绝代艺蘅词，三岛客星归故国	传家爱莲赋，百花生日贺新郎
琴续第二弦和合	月过初三夜团圞
夫夫妇妇今日	子子孙孙他年
高会后重九九日	佳耦是无双双星
春八千、秋八千纪算	前重九、后重九称觞
此天下广居，去嘉山不数武	师日中为市，在民国第八年
王晋卿筑宝绘堂，庶几全其乐远其病也	欧阳子作昼锦记，岂止夸一时荣一乡哉
有孙将略通儒略	此老德星应寿星
同榜几人存，数前辈科名，并诵灵光一赋	齐眉百岁近，话先朝故事，重歌泮水三章
五百议员君一鹗	八千椿寿海三田
缇骑自崖千叶海	名山同寿一家言
耻帝秦，效鲁连蹈东海	俾戬谷，赓天保寿南山
肯屈洪宪皇帝之威，舌不能柔，头原可断	似惊澹庵先生犹在，懦真与立，寿自无疆
母九旬，儿六旬，更欣绕膝人多，商瞿五十岁后兰玉丛生，得峥嵘五男子	官二品，阶一品，尤喜乞身归早，灵隐三天竺外园林胜地，有突兀三层楼
歌咏万家春，与南极一星并寿	才名四蜀大，先东坡匝月而生
司马文章有奇气	伊川筋力胜中年
学海堂中旧名宿	吴淞江上老诗人
比年爱读漆园书，喜闻天上大椿，植根曾阅八千岁	此地尽容征士隐，好趁东篱秋菊，浊酒连倾三百杯
傲骨比黄花，正秋来景物都佳，笑看说剑堂前，珠树三株供指使	诗情纪红豆，便老去风流犹昨，艳说翦淞阁上，月华双照画眉痕
跻彼公堂，称彼兕觥，介尔景福	刚亦不吐，柔亦不茹，保我黎民
有那其居，兄弟式相好矣	克昌厥后，子孙勿替引之
千乘万骑，如莹燕处	八雀九华，备礼以迎
无可奈何，似曾相识	有情眷属，如意郎君
天下名士有部落	美人清妙遗九州
陈氏卜婚，五世必大	萧娘所字，八公之雄
君舅是旧二千石太守	亲迎来经八百里洞庭
使君是吾楚新令尹、旧令尹	绕膝得中华男国民、女国民
生儿古有孙征虏	娶妻当得阴丽华
贺新郎，同心结	将进酒，合欢杯
信女善男，男婚女嫁	欢天喜地，地久天长
新婚吉利，金婚愿祷	今日夫妻，他日公婆
必齐之姜，必宋之子	愿花长好，愿月长圆
欢喜姻缘，姻缘美满	团圞儿女，儿女英雄
倡平等，愿先男女平等	爱自由，否认婚姻自由
女儿合是无双字	君舅今符第五名
新歌宜弟宜兄，兄难为兄，弟难为弟	亲迎自南自北，北人归北，南人归南
吾辈当惜分阴，万八千日莫虚掷	劝君更尽杯酒，四十九年应知非
将星拱德星，光腾万丈	菊酒为寿酒，喜溢三军
借天保九如，祝吾宗二老	备箕畴五福，得上寿百年
文子在吾湘，佩横磨十万剑	老天锡公嘏，享大寿八千年
仙眷引鸾和，几经时雨春风，愿播生文明种子	新诗歌燕衎，为进兰汤蒲酒，好消受美满光阴
道阻益亲，杜陵忆弟	年强不仕，王烈式乡
不皇不帝不君不天王，总统万年，大如美利坚，小视戈司特	曰汉曰满曰蒙曰回藏，共和五族，东到日本海，西逾喜马山
民国此高年，饱阅变桑，彭李不老	法权今独立，喜瞻文梓，申韩成名
百花潭北杜工都	九老图中白乐天
老何所求，一袭绣衣，曾经沧海	传之勿替，三冬文史，差胜金籝
岳大湖深寿无极	君来我去官相牵
昆明半勺持相寿	苜蓿一盘延大年
八旬举案夫偕妇	四世同堂子抱孙
灵椿八千岁为春秋，难得者齐眉偕老	大鹏九万里神变化，莫乐兮绕膝承欢
数湘中将相，咸由武达，我公独以文章，清标卓立朝端，宜享修龄如潞国	综天下胶庠，所有导师，一老为之领袖，贱子来从海上，居然便坐识荆州
大衍添筹，月圆人寿	中流砥柱，虎踞龙蟠
公能射虎追前烈	人羡犹龙享太平
朔方健儿好身手	南极老人应寿昌
早从黄石，晚从赤松，问古来退步英雄，崛强谁如此老	大儿文举，小儿德祖，看膝下拜庭肃穆，欢喜共祝长生
驷马高车早有名，如水之清，祝嘏窃持半卮献	羔羊朋酒犹嫌俗，以梅为寿，相思聊寄一枝春
三千珠履集平原，分明月殿霓裳，唤回天宝	十万花灯买元夜，曾记蟠桃麟脯，醉倒昆仑
君七十，我五十，合之甲子重周，岁序绵长，商会先荷花生日	椿八千，桃三千，记取己亥六月，主宾酬酢，胜地得好木丛林
酒星李长庚，愿三百六旬多醉	君子蘧伯玉，知四十九年之非
漫道世间难逢百岁	且看堂上再过十年
应世生尼山后一日	谈天识瀛海大九州
数百岁之桑弧，过去五十，未来五十	问大年如海屋，春华八千，秋实八千
已历万八千日，先生醉乎？未也	追思四十九年，吾子过矣，非欤
一生多是命安排，四十五十无闻，六十年华今已到	万事明知自生灭，三千大千悟澈，八千书卷不重回
愿岁岁今朝，以腊八良辰，陈千秋雅戏	祝婆婆老福，从古稀七十，到上寿百年
五月十五，五福备至	百年半百，百寿开先
雄文令子两苏氏	耆旧商贤一老彭
读书空山，无过即寿	此老生日，有花皆香
食柑十年，遐不寿耇	种竹千个，比之封君
祝遐龄如耳	尽地力继悝
愿祝大椿八千寿	爱临小楷十三行
星辉南极岁之始	雨足西江云自闲
传诸好事，此会希有	作为文章，其书满家
夫子勤于蘧伯玉	使君疑是郑康成
何人比拟明堂柱	此老真成矍铄翁
文章上继两司马	耆宿今惟一伏生
遗老入山天与健	直名在史寿无涯
世臣喻乔木	晚节视黄花
言满天下，行满天下	八千为春，八千为秋
住持第一江山，问长老几生慧福	游遍大千世界，知寿星即是如来
自惭一世虚生，不堪刘季万钱贺	难得六亲共聚，愿作平原十日游
百年福德齐眉寿	一佛欢喜出世新
卧龙雏凤每比户	昌谷樊川各一家
者个头陀有点来由，四十年中，好结交名士才人，剑仙羽客	平生和尚作些甚么，三千界外，爱赏玩梅花杨柳，古画奇书
书库待成池北记	甘林新卜瀼西居
其人多才，卜毕万之后必大	此乡信美，绍金华学派真传
