一上高楼，缅当年江汉风流，多少千秋人物	双持使节，喜此日荆衡形势，纵横万里金汤
呼吸风云，大鹏九万里而南北	沉酣泉石，灵椿八千岁为春秋
命也何如，无禄竟难沾薄禄	天乎欲问，广文可许作修文
和声鸣盛世	春色满皇州
和声鸣盛世	鼓乐庆升平
和尚作了十二年，未曾住庙	弟子拜辞三千佛，从此还家
和尚挑水两膀尽是汗淋	尼姑栽秧双手按插布阵
和尚撑船篙打江心罗汉	佳人汲水绳牵井底观音
和尚法正，提汤上塔，大意失手，汤淌烫塔	裁缝老徐，与妻下棋，不觉漏眼，妻起弃棋
和平大业犹赊，贤芝正赖，何竟中道损弃，碧血长天永留恨	民主曙光初吐，瞻望方殷，难堪噩耗惊传，苍山在地尽含悲
和平峻望中书令	典则高文太史公
和风君子德	时雨圣人怀
和风吹绿柳	时雨润春苗
咦着邪哩	嚷见鬼么
咬定一两句书，终身师保	栽成五七竿竹，满目儿孙
咬定几句有用书，可忘饮食	养成数竿新生竹，直似儿孙
哀情吉语本难双，偏是捷奏甘泉逢永诀	吏干军咨才有几，堪念政成天水赋同袍
哀我中华，倏失横流一砥柱	伟公革命，巍如空界八行星
哀窈窕，思贤才，放逐余生成负国	息邪说，拒诐行，低徊薄海更何人
品望迈冶亭铁君，年来兰田屏居，夜半苍茫射猛虎	题诗遍戒坛盘谷，他日平山重过，壁间飞动见龙蛇
品泉茶三口白水	竺仙庵两个山人
品绿评红调朱绚素	持筹握算积产储财
品节详明德行兼备	事理通达心平气和
品齐日观云亭峻	气与风兰水竹清
响水池中池水响	黄金谷里谷金黄
哭公正是埋书日	招我难忘易箦时
哭寝涟如，骇世界新闻，大招无语涔阳浦	请车已矣，触吾儿旧痛，短命伤心周氏汪
哲嗣飞将军，七二精英，百二锁钥	寿星柱下史，五千道德，八千春秋
唉！夸又到一年秋，大好河山，泯泯棼棼，汔未回复旧观，顶礼转轮王，度己度他同解脱	嘻！昔尝痛诸君死，有情箫笛，掩掩抑抑，相将共捃雄鬼，心依救世佛，在天在地各归来
唐代论诗人，李杜以还，惟有几篇新乐府	苏州怀刺史，湖山之曲，尚留三亩旧祠堂
唐代诗人，李杜以还，惟有几篇新乐府	苏州怀刺史，湖山之曲，尚留三亩旧祠堂
唐史传偏遗，合循吏儒林，读书不碍中年晚	苏州官似谥，本清才名德，卧理能教末俗移
唤彼竟奚为，莫贪著蜗角微名，蝇头细利	临行何所赠，好记取东城白水，北郭青山
唱妍酬亦丽	我适物自闲
唾彼群奴才复辟，龙争手炮，驱宗社狐鼠	隐然一敌国少年，虎啸挈尊，吊砀山风云
商彝周鼎，汉印唐碑，上下三千年，公自有情天得度	酒胆诗肠，文心画手，纵横一万里，我于无佛处称尊
商瞿有五丈夫子，我只一焉，颇惜一夔犹未足	邓禹以廿四封侯，今且老矣，未知老骥竟何心
善待问如撞钟，小应小，大应大	措天下若置器，安则安，危则危
善德如拳蹲眼底	沅江作带绕栏前
善恶报施，莫道竟无前世事	利名争竞，须知总有下场时
善战不败，善败不亡，疏论廷诤，动关至计	主忧臣辱，主辱臣死，皇天后土，式鉴精忠
善报恶报，循环果报，早报晚报，如何不报	名场利场，无非戏场，上场下场，都在当场
善言莫离口，善乐莫离手	独立不愧影，独寝不愧衾
喜与不淡时务客饮酒	难为未识姓名人作书
喜享遐龄寿比南山松不老	欣逢盛世福如东海水长流
喜作月老牵红线	乐做红娘搭鹊桥
喜大好河山，从兹永奠金汤固	愿一般儿女，莫作承平歌舞看
喜待东西南北客龙井泉多奇味	献出兄弟姐妹情武夷茶发异香
喜怒哀惧爱恶欲	柴米油盐酱醋茶
喜报英雄门第	春到光荣人家
喜无多屋宇	幸不碍云山
喜无樵子复看弈	怕有渔郎来问津
喜无樵子复观奕	怕有渔郎来问津
喜有两眼明，多交益友	恨无十年暇，尽读奇书
喜相聚有缘畅过先前四载春秋	怕后会无期欢度最后一个元旦
喜看三春花千树	笑饮丰年酒一杯
喜见湘水澄波，成局部自治	愿持船山噩梦，为我公招魂
嗟叹嚎啕哽咽喉	泪滴湘江流满海
嗟吾多病爱闲，何堪垂老零丁，又折此刚强一臂	念尔母衰妇弱，未得抱孙慰藉，忍听他惨戚双啼
嗟哉一国，仅此完人，天乎乃复夺之，邦其焉托	耗矣十年，宛成大梦，死者如可作也，吾谁与归
嘉名远并西湖，异代恩加忠肃谥	文藻应留故宅，金川人记浩然堂
嘉澍庆知时，仰神赞天功，灵嘘元气	大田歌既渥，看泽周南海，福庇东瀛
嘘吸沧溟涵地脉	吐吞日月镇天池
噩梦忽惊魂，痛绝高堂，环视孤茕还待抚	微疴真雾露，伤哉旅邸，是何医药漫相攻
噫吁嚱蜀道蚕丛，当年巢破卵完，辛苦贼中来，竟重见藁砧天末	逍遥游北溟鲲化，有子珠零锦灿，文章千古事，独难留寸草春晖
噫气满大块	明星摇空天
囊无半卷书，惟有虞廷十六字	目空天下士，只让尼山一个人
囊简久藏蝌蚪字	诗坛欲效鹳鹅军
四万里皇图，伊古来从无一朝一统四万里	五十年天子，自今后还有九千九百五十年
四万青钱，明月清风今有价	一双白璧，诗人名将古无俦
四化行春新岁月	九旬益健老青年
四十九年穷不死	三百六日醉如泥
四十二年碌碌无奇，安得出人头地	三百六日孳孳为利，何堪昧我性天
四十年生有自来，身到蓬瀛天遽召	三千里没而犹视，心伤桑梓母何依
四十年赤手持家，君死料难如往日	六旬人白头永诀，我生谅亦不多时
四千里累尔远来，父在家，母在殡，翁姑在堂，属纩定知难瞑目	廿三年弃余永诀，拜无儿，哭无女，继承无侄，盖棺未免太伤心
四口同固，内口皆归外口管	五人共伞，小人全仗大人遮
四塞雄关，跨溇吞澧	一山乱石，走云连风
四大皆空，从何处坐	独立不惧，作如是观
四大皆空，坐片刻无分尔我	两头是路，吃一盏各自东西
四大皆空，坐片刻无分尔我	两头是道，吃一盏莫问东西
四大空中，独留云住	一江缺处，远看潮来
四季笙歌，尚有穷民悲夜月	六朝花柳，浑无隙地种桑麻
四山滴翠环初地	一路听泉到上方
四岳云开天路大	五更日出楚山高
四年使节甫归程，岂期游子春晖，寸草难留三月景	八十老翁应破涕，为道文孙秋捷，佳音报与九原人
四库藏书，宝笈牙签天禄上	三长选俊，缥囊翠轴月华西
四方名士皆知己	八座门生正少年
四时为柄	万象皆春
四时春夏秋冬景	一个东西南北人
四时最好是三月	万里谁能访十洲
四时来备各以叙	如川方至莫不增
四朝身历升平日	百岁人呼矍铄翁
四朵兆金瓯，是二千石美谈，不因五色书云，谁识名流皆五马	万花停玉局，惟六一堂如旧，若溯三贤谥典，合将祠额署三忠
四民之财钥	九澧此泉源
四水江第一，四时夏第二，老夫居江夏，谁是第一，谁是第二	三教儒在前，三才人在后，小子本儒人，岂敢在前，岂敢在后
四水江第一，四时夏第二，老夫居江夏，谁是第一，谁是第二	三教儒在前，三才人在後，小子本儒人，岂敢在前，岂敢在后
四海仰双星，六秩衍大挠甲子	二难跻八座，九夫锡娲氏笙簧
四海具瞻，尊为山斗	同朝钦羡，望若神仙
四百八十寺，过眼成墟，幸岚影江光，犹有天然好图画	三万六千场，回头是梦，问善男信女，可知此处最清凉
四百荷花三面柳	一城山色半城湖
四维罗夕夕多，罗汉请观音，客少主人多	弓长张又又双，张生求红娘，男单女成双
四维罗马各骆罗上骆下罗骑骆	言者诸豕者猪诸前猪後诸牵猪
四角亭开临止水	六朝人去剩孤松
四载门墙蒙教育	十年树木长风云
四郊昨多垒	九澧兹安澜
四野桑麻，不羡河阳花作县	一腔冰雪，偏教寒谷黍知春
四镇多贰心，两岛屯师，敢向东南争半壁	诸王无寸土，一隅抗志，方知海外有孤忠
四面云山都到眼	万家灯火最关心
四面清风三面水	二分明月一分花
四面湖山归眼底	万家忧乐到心头
四面湖山归眼底	万家忧乐到心头。
四面灯，单层纸，辉辉煌煌，照遍东南西北	一年学，八吊钱，辛辛苦苦，历尽春夏秋冬
四面荷花三面柳	一城山色半城湖
回民汉民，多是子民，我最爱民无异视	礼法刑法，无非国法，尔须畏法莫重来
回看佛国青螺髻	误入仙人碧玉壶
回看屈宋犹年辈	远追甫白感至诚
因御灾捍患致疾而亡，成此一生宁不幸	以弱息孤雏遗优于老，定知九死有余哀
因昨日过去湖南，盼他日未来中国	惟有人流血革命，始成人自由共和
因果证殊难，看残棋局光阴，试问转瞬重来，几见种桃道士	黄粱炊渐熟，阅遍枕头世界，乐得饱餐一顿，做成食饭神仙
因树为屋	临水起楼
因树为庐花当壁	得书如产砚犹田
因树构重楼，看春阴满地，矫首凌云，道是卧龙将起	飞霞成幻境，指秋水长天．会心当日，除非孤鹜知还
因荷而得藕	有杏不须梅
团饭引来，喜掉续貂之尾	索綯牵去，惊回顾兔之头
园中草木春无数	湖上山林画不如
园中鸟语劝沽酒	窗下日长宜读书
园日涉以成趣	门虽设而常关
园林娱老儿孙好	夫妇同耕日月长
国乱民愁，王不出头谁自主	天寒地冻，无水一滴难成冰
国事如斯，家事如斯，如斯斯己	生亦不了，死亦不了，不了了之
国人欲勿殇，有执干戈卫社稷之志	朝廷宜矜恤，为联邦交习戎备而亡
国初定时推袁，国大定时推袁，总统万岁	日出处无天子，日入处无天子，共和一家
国士合登坛，犹忆平生经百战	君恩许专阃，待看号令肃三军
国士无双双国士	忠臣不二二忠臣
国家丰亨豫大，再筹三十年之通	民户朝饔夕飧，或鲜万千斯之积
国强家富人寿	花好月圆年丰
国故罗胸，惜哉不就横云稿	陆居无地，凄绝难寻野史亭
国无专祠而士林有俎豆，家无私谥而瀛海识姓名，真气塞乾坤，必到盖棺平众议	功在绥边以苦口破群疑，学在传经以虚心衷一是，寒芒动奎壁，愿因修史上遗书
国有转机，如闻宗泽渡河，赍志不忘临命日	生无言责，太息刘蕡下第，抗章难得汗颜人
国朝谋略无双士	翰苑文章第一家
国民赖松有人格	英雄无命亦天心
国逢安定百事好	时际芳春万象新
国重生命轻，一弹炸碎共和，海上风云皆变色	心长寿数短，九有重开帝运，人间富贵早封侯
国门旧价千金重	乡社新图九老尊
图成耕织	诗集攸同
图画香山，风流玉局	荷花世界，杨柳楼台
土产无多，生一物栽培一物	地方不大，住几家保佑几家
土产有三，驴子臭虫候补道	制军无二，杀人见客绝代公
土生物以为功，故生金生水生木生火	地时行之谓顺，愿时寒时燠时雨时旸
土豪劣绅土崩瓦解	地痞流氓地磨草光
圣世不鸣条，默佑湖河占利涉	神功常应律，潜调寒燠叶休征
圣业须参齐鲁论	尚书并校古今文
圣代即今多雨露	先生有道出羲皇
圣代即今多雨露	故乡无此好湖山
圣代止戈资庙略	众仙同日咏霓裳
圣代科名酬志业	中朝品秩重文章
圣以武成名，刚毅近仁，于清任时和中更增一席	学于古有获，春秋卒业，在诗书易礼外别有专经
圣德遐昌，北极恩光昭北阙	皇仁远被，西朝瑞霭接西天
圣德醍醐，花深红药省	帝光纠缦，日丽紫微天
圣恩赐西湖一曲	人望若北斗七星
圣朝无弃物	余事作诗人
圣母神子，万寿无疆，复万寿无疆	昨日今朝，一佛出世，又一佛出世
圣算无疆，矗矗鳌山开寿域	天颜有喜，溶溶鱼藻漾恩波
圣至于神，荐馨历千载而遥，如日月行天，江河行地	湖开自汉，崇祀值两峰相对，有武穆在北，忠肃在南
圣训敷言，知道在伦常，业先耕读	民劳思善，愿人勤守隘，俗革歌墟
在万山中突见此奇，莫笑广厦庇材，愿奢杜老	惟诸君子不私所有，台将瓣香祭社，义附文翁
在城之曲	因地为园
在天比翼鸟，在地连理枝，可以成仁，可以取义	不愿同日生，但愿同日死，吾闻其语，吾见其人
在官言官，议事以制	隆礼由礼，慎乃攸司
在家常起早	偶地即安居
在山本清，泉自源头冷起	入世皆幻，峰从天外飞来
在山泉清，出山泉浊	陆居非室，水君非舟
在州无事，朝暮习劳，述祖区区，九澧浮沉营冷宦	先民有言，狱市不扰，守官录录，十年叨窃忝清时
在明庄烈朝内外交讧，北援南征，伟哉失人物	与周平西祠后先相望，忠魂毅魄，壮此好溪山
在昔唐衢常恸哭	只今宋玉与招魂
在昔唐衢常痛哭	只今宋玉与招魂
在治忽，观古人之象，绘作有虞	先稼穑，知小民之依，图成无逸
地下见爹娘，为言季子非人，不孝不弟	云间逢父老，共说宰官爱我，廉善廉能
地中有山，始利大川终邑国	人间何世，即看小岛亦波澜
地亦千秋，南来寻丞相祠堂，一样大名垂宇宙	桥通万里，东去问襄阳耆旧，几人相忆在江楼
地产五金利民用	我持寸铁叩天扃
地以人传，溯自周郎习战，苏子题词，仙吏将才，千古各成奇迹	天留我住，放教彭蠡风帆，匡庐瀑布，水光山色，一时都入壮观
地价不妨多，明月清风本无价	物情何足校，近水遥山皆有情
地位清高，日月每从肩上过	门庭开豁，江山常在掌中看
地出灵泉润海表净地何须扫	天生石鼓镇闽中空门不用关
地利极膏腴，十万山近绕澄江，今年喜雨足田肥，人和岁稔	边情须体察，三百里亲来行县，到处得兴农课士，问俗观风
地势据上游，遥遥控滇黔秦陇，切盼销兵，天府称雄，此邦不亚江南好	皇华来益部，历历咨民物山川，壮怀叱驭，锦城云乐，吾辈休歌蜀道难
地占百弯多是水	楼无一面不当山
地大不爱宝	臣术能点金
地居廉让之间，二分流水，三分农圃	学有经济者贵，半部论语，一部春秋
地居黄运中，水欲治，漕欲通，千里河流，涓滴皆从心上过	官作军民主，宽以恩，严以法，一邑众庶，笑啼都到眼前来
地当韦杜城南，鼓吹休明，共效讴歌来日下	人在枌榆社里，风流裙屐，恍携丝竹到山阴
地当黄运之中，水欲治，漕欲通，千里河流，涓滴皆从心上过	官作军民之主，宽以恩，严以法，一方士庶，笑啼都到眼前来
地接蓉城，前哲仰遗型，有讲学名臣，尚留书院	帖传竹杖，此邦挺高节，笑寻源使者，不贡人才
地接西清，最难忘枢密院旁，公余茶话	恩深南徼，惜空留昆明池畔，去后棠阴
地接锦江，看君君臣臣，有昭烈壮缪武乡，一样大名垂宇宙	文称苏海，叹父父子子，如蓬莱瀛洲方丈，三峰灵气接神仙
地接龙门，多士须联鱼贯队	恩开虎榜，嘉宾同拜鹿鸣歌
地是名山宜庙食	民思贤守本诗人
地是周京，广进吉人歌引翼	制循汉室，特颁明诏选贤良
地是赤松旧游处	人从昆仑顶上来
地暖花长发	村幽鸟任歌
地有千秋，南来寻丞相祠堂，一样大名垂宇宙	桥通万里，东去问襄阳耆旧，几人相忆在江楼
地有百区皆近水	室无一面不当山
地本仙居，鸠杖亲携寻药饵	官真吏隐，鹤觞小酌咏梅花
地球一周绕日	爆竹万户更新
地球倒转海上立	天汉下垂云横崩
地留问月台，去谪仙一千四百载	时有观风使，为孔子七十五代孙
地称齐鲁遗风，向四览寻源，略仿古时州有序	我劝师儒设教，视三年敬业，要求初学德之门
地窄天宽，江山雄楚越	沤浮浪卷，栋宇自孙吴
地缩三弓，墙外让人行路	楼添一角，座中留客听泉
地转锦江成渭水	天回玉垒作长安
地轴转洪涛，月涌星垂，三楚江声分浦溆	天关开重镇，烟霏雾敛，六朝山色拥台隍
地辟天开，斯文独立	山高水大，此石不磨
地近圣居，洙泗宫墙瞻数仞	基开王迹，镐丰钟鼓振千年
地近春明，忆当年甥馆清娱，几听后堂丝竹	序先秋禊，幸此日师门暇豫，共陪高阁襜帷
地近玉阶通御气	春回琼琯驻韶光
地连石屋双峰起	天放钱江一角来
地迥不遮双眼阔	窗虚只许万峰窥
地迥云偏白	亭香草木凡
地重棘闱，看云里翚飞，四面轩窗增壮气	轮圆桂殿，听月中舞羽，一番鼓吹接仙音
地重邠歧，礼乐务还醇厚	学宗邹鲁，文章须探本原
地阔天高比翼齐飞皓月描来双影雁	寒霜映出并头梅红梅吐芳喜成连理
场列东西，两道文光齐射斗	帘分内外，一毫关节不通风
坏尔长城，问谁实为之，殆出诸野心勃勃者	何来刺客，亦大可疑也，果能逃万目睽睽乎
坐到二更，合眼即睡	心无一事，敲门不惊
坐卧一楼间，因病得闲，如此散材天或恕	放怀千载上，过时为学，庶几昞烛老犹明
坐卧一楼间，因病得闲，如此散材天或恕	结交千载上，过时为学，庶几炳烛老犹明
坐客为谁，听二分明月箫声，依稀杜牧	主人休问，有一管春风词笔，点缀扬州
坐忘务学颜三益	行己须遵孔一言
坐曝书亭，登小仓山，文采风流，二百余年无此盛	对退省庵，近巢居阁，勋名德业，两三间屋并生春
坐此似同舟，宦情彼此关休戚	须臾参大府，公事何妨共酌商
坐看吴粤两山色	默契羲文千古心
坐看溪云忘岁月	笑扶鸠杖话桑麻
坐，请坐，请上坐	茶，敬茶，敬香茶
坐里门内，夕而朝教不忘就尔事	习君子言，尊以遍学莫便近乎人
坐里门内夕而朝，教不忘就尔事	习君子言尊以遍，学莫便近其人
坐随兰若幽怀畅	游及竹林躁气清
坚城垂拔，壮士先摧，当时若失左右手	百战论功，一言决策，如公可谓文武才
坚姿聊自傲	素履期不渝
坚持抗战，坚持团结，坚持进步，边区是民主的抗日根据地	反对投降，反对分裂，反对倒退，人民有充分的救国自由权
坤灵之符，一门两国士	朝市几易，残劫小游仙
垂帘廿余年，年年割地	尊号十六字，字字欺天
垂训一无欺，能安分者，即是敬宗尊祖	守身三自反，会吃亏者，便为孝子贤孙
城收万景近	天放一山来
城西风雨老树立	夜半星月玄谈生
城郭如故人民非，曾否鹤归华表	风景不殊山河异，繄谁泪洒新亭
城隅绿水明秋日	江上诗情为晚霞
培土领从方寸起	留花莫到十分开
堂上文宣，空留纱幔	军中伯约，忍忆当归
堂开蓬莱景	人醉武陵春
堤外波光万里碧	海上渔舟千担银
堤畔莺花桥畔月	竹边歌吹柳边舟
塔影城阴可诗画	佳晴喜雨足登临
塔楼亮灯，层层孔明	荷塘抠藕，节节太白
塔顶葫芦，尖捏拳头捶白日	城头箭垛，倒生牙齿咬青天
填海矢精诚，乃以文人坚自晦	义师出权变，不为功首怆予心
境辟太元中，看流水桃花，洞口不生寄奴草	地犹武陵郡，喜垂髫黄发，村中时见避秦人
墙上挂珠帘你说是王家帘朱家帘	半夜生孩儿我管他子时乎亥时乎
墙上芦苇，头重脚轻根底浅	山间竹笋，嘴尖皮厚腹中空
墨云香冷来禽馆	薤露寒生赋鵩文
墨妙已窥王令帖	良材还斵蔡翁琴
墨研清露月	琴响碧天秋
墨笑儒，韩笑佛，司马笑道，侬惟自笑也	舜隐农，说隐工，胶鬲隐商，伶亦可隐乎
墩本吾家，胜迹从来称太傅	宅由我造，半山莫更让荆公
壁立千仞，犹恐未免俗	胸包九流，而后可谈经
士为知已	卿本佳人
士可杀不可辱	兵贵精岂贵多
士恒士，农恒农，工恒工，商恒商，族少闲民，便有兴隆景象	父是父，子是子，兄是兄，弟是弟，门无乖气，方为孝友人家
士所尚在志，行远登高，万里鹏程关学问	业必精于勤，博闻强识，三余蛾术惜光阴
士有不得志，痛泪何多，甚矣子之营父葬	身则无所贪，劳生转剧，茫乎吾欲从公游
士生要宏毅	情在强诗篇
士而托于诸侯，非其义也	师不贤于弟子，将焉用之
壮其文词，一见诵忆	慕仰风味，匪为观游
壮县伟观，问李群玉溇水亭今安在哉？惟此高楼，撑天无恙	发人远慨，笑袁世凯皇帝梦亦已醒否？愿吾民主，历祀永宁
壮士死则举大名	懦夫闻而有立志
壮志挽宗邦，剧时犹带吴钩看	宦游悲末路，老去方知蜀遭难
壮志效鹏抟，万里扶摇今铩羽	共灵随鹤化，九天苍莽与招魂
壮志难磨，尚欲乘长风破万里浪	闲情自遣，不妨处南海弄明月珠
声华满冰雪	节操方松筠
声教讫南天，滇海通波，玉斧画河嗤往代	文章溯西汉，邛都按部，锦衣渝蜀艳当年
壼范垂型贤推巾帼	婺星匿彩驾返蓬莱
处争竞世界	作完全国民
处处春光好	家家气象新
处处桃花频送暖	年年春色去还来
处处红花红处处	重重绿树绿重重
处处飞花飞处处	声声笑语笑声声
处处飞花飞处处	潺潺碧水碧潺潺
处苦况而尚能甘，才是真修之士	当乐境而不知享，毕竟薄福之人
处远居高，何时而乐	投闲置散，乃分之宜
复辟著奇勋，海内同声称武圣	屠民成大业，湘中众口颂勋臣
夏鼎商彝，秦碑汉瓦	刘略班莪，贾策扬经
夕阳山色横危槛	夜雨河声上小楼
夕阳无限好	高处不胜寒
外域全归，坐揽关山皆胜地	上游得据，笑谈西北有高楼
外家中剩有几多人不堪指数，天方蹶兮，岂料忧患余生，长向幽冥作团聚	重泉下休把未了事挂在心前，言可复也，忍令零丁幼子，惨遭颠沛没安排
夙与贤郎相期，欲其道继胡先生，名过冒公子	来为长者致祝，惟有寿之南山石，酌以东海波
多君从海岛归来，看胜境盘桓，特地楼台撑碧落	是处去洞庭咫尺，任朗吟飞渡，一天风雪亘黄山
多士当收束身心，此是圣域贤关，不徒论文章巧拙	先儒幸留贻教泽，正须坐风立雪，共猛下刻苦工夫
多多栽种些好花，于己亦便	远远让开条来路，尽人去行
多少驷马高车，题桥柱去	安排铜琶铁板，唱大江东
夜夜出游，知虞公之不可谏	朝朝来聒，何许子之不惮烦
夜月光辉宇宙	春霄威震乾坤
夜月桥边留画舫	春风陌上引香车
夜渚月明，所思不远	柳阴路曲，妙造自然
大丈夫当马革裹尸，为国为民，死如不死	好湖山与鬼雄埋骨，来歆来格，神乎其神
大义虽败犹荣，大节虽死犹生，春风辽海吊英魂，一掬泪雨，兼及严敦，似我难为情，空回忆天山聚首，湘水寻盟，榆关分袂	忠心百挠不折，忠骨百磨不灭，燐火沙场悲浩劫，四言刻文，认归先轸，如公亦何恨，只可怜白发倚门，红颜破镜，黄口服衰
大云暂作闲云，风规自在	元夜顿成长夜，月魄同亏
大儒不再，学者安宗，从今山斗千秋，莫共籍翱陪侍座	异书满家，海内所诵，独惜权舆八志，未追扬马睹成篇
大儒以胞与为怀，小数得名，莫匪术耳	汉室有心腹之患，神针难救，岂非天哉
大儿孔文举，小儿杨德祖	前身陶彭泽，后身韦苏州
大功在备倭，城郭依然，公去苍茫谁嗣者	明诏使防海，风波未已，吾来宏济愧前贤
大勇却慈祥，论古略同曹武惠	至诚相许与，有章曾荐郭汾阳
大千春色在眉头，寻遍翠暖珠香，重游瞻部	五万莺花如梦里，记得丁歌申舞，曾醉昆仑
大千春色在眉头，记当年翠暖珠香，曾游赡部	五万莺花如梦里，念此日丁歌甲舞，重睡昆仑
大厦落成，吉梦叶长庚，知太白诞生有自	神州多事，幽栖入盘谷，问昌黎作序何如
大名诸葛身先死	异姓汾阳帝不疑
大哉夫子之功，百世权衡，六经羽翼	远矣斯文之统，周程私淑，孔孟闻知
大哉霜雪干	得之烟山春
大地山川生笔底	九州人物出毫端
大地干戈十二年，举室效愚忠，自称家国报恩子	诸兄离散三千里，音书寄涕泪，同哭天涯急难人
大地春光好	农村气象新
大地欢胪殷庶，道统际重熙，六叶升恒，万国万年长拱极	清时盛谱和声，光天歌复旦，十华糺缦，寿星寿宇遍腾辉
大地香飘蜂忙蝶戏相为伴	人间春到莺歌燕舞总成双
大处着眼，小处着手	群居守口，独居守心
大夫不敢祖诸侯，表海雄风，莫问遥遥华胄	途人其初本一体，敬宗收族，当思密密连枝
大宛名马日千里	丹山一凤飞九霄
大家有文，传入列女	长陵不死，嗣为神君
大富贵，亦寿考	蓄道德，能文章
大将横尸，鼓声已死	下人奸上，天道宁论
大小姐洗黑白菜	高矮子吃热凉粉
大小孙眼看七代	内外翰身历四朝
大屋不画龙蛇，待名士来题咏者	今世复多蛟虎，愿将军出斩除之
大巧若拙，大辩若讷	相马以舆，相士以居
大帝君臣同骨肉	小乔夫婿是英雄
大庇一方民，丛祠无恙	遍行九州雨，神女不归
大度领江淮，宠辱胥忘，美谥终凭公论定	前型重山斗，步趋靡及，遗章惭负替人期
大德得无量寿	此老有当世名
大德曰生	仁心为质
大德曰生，愿众生生生不已	至诚无息，求嗣息息息相通
大惧与众人同数	须知保晚节尤难
大慈悲能布福田，曰雨而雨，曰旸而旸，祝率土丰穰，长使众生蒙乐利	诸善信愿登觉岸，说法非法，说相非相，学普门功德，只凭片念起修行
大挠周天，俾炽而昌期而艾	中秋昨日，愿人长寿月长圆
大敌勇，小敌怯，昔固有之	今日是，前日非，吾无愧矣
大文章无用处	古乐府有余音
大文间世有述作	至乐在人无古今
大木森森，松柏梧桐杨柳	细水淼淼，江河溪流湖海
大本领人，当时不见有奇异处	敏学问者，终身无所为满足时
大本领人当时不见有奇异处	敏学问者终身无所谓满足时
大树忽倾，泪堕羊公碑上	小星同殒，魂归燕子楼中
大树顿飘零，缅半生绩楙旂常，知北阙褒忠，旷典特颁鸡鹿塞	高堂尽垂暮，惨前代祸同藩镇，值南辕返榇，英灵遗憾鹳鹅军
大汉茂材有异等之科，振拔殊尤，今视诸昔	吾湘骚赋为词章所祖，渊源忠孝，道存乎人
大江东去千峰翠	爽气西来两袖青
大江东去	吾道南来
大江东去，平楚南来，一带江山如画	高柳垂阴，老鱼吹浪，依稀风韵生秋
大江东去，看骇浪惊涛，千古英雄淘不尽	匹马南来，问豪情壮志，一楼风月拓奇观
大江从三峡而来，有拔地楼台，俯视东南一都会	载酒约诸公同醉，看兼天波浪，问淘今古几英雄
大江南北，亦有湖山，来自衡岳洞庭，休道故乡无此好	近水楼台，尽收烟雨，论到梅花明月，须知东阁占春多
大江流日夜	西北有高楼
大江淘尽英雄，山经百战楼仍在	诗卷长留天地，人往千秋酒不空
大法小廉，宣我上德	湘清岳峻，式是南邦
大泽中云雨未兴，蛟龙尚隐	小坐处溪山相昵，鱼鸟可亲
大泽龙方蛰	中原鹿正肥
大海吸波涛，遗恨难填精卫石	圣朝多雨露，褒忠常傍水仙祠
大海有实能容之量	明月以不常满为心
大海茫茫，到无岸无边，观于天，天高在上	飘风发发，正可危可惧，徯我后，后来其苏
大海茫茫，到无岸无边，视于天，天高在上	飘风发发，正可危可惧，徯我后，后来其苏
大湖东西，澧浦与岳阳对峙	小范忧乐，英雄要儿女平分
大瀛海环神州赤县之旁，邹子雄谈，地球九万里	新国民咸结轨联航而至，春申上客，珠履三千人
大烹以养	小住为佳
大福久兴，主母喜舞	长乐受庇，使君延年
大笔淋漓圬者传	义声澎湃浙江潮
大笔高名海内外	君来我去天东南
大肚能容，包含色相	开口便笑，指示迷途
大肚能容，容天下难容之事	慈颜便笑，笑世间可笑之人
大肚能容容天下难容之事	慈颜常笑笑世上可笑之人
大节凛东藩，四百载至今如昨	崇祠留北渚，万千劫虽死犹生
大节匹阎公，取义成仁，青史从今尊县尉	忠魂依处士，补梅招鹤，孤山终古属君家
大衍添寿，一百六日春光好	长才捧檄，七十二沽游兴浓
大衍添筹，月圆人寿	中流砥柱，虎踞龙蟠
大观园开，小广寒闭，小固不可以敌大	仁慈院兴，张公祠废，张也难与并为仁
大观在上	小住为佳
大贤秉高鉴	上德表鸿名
大贤自合为九列	清风可以流万年
大赌场小赌场大小赌场赌大小	男学生女学生男女学生生男女
大陆龙蛇，尘世沧桑经老眼	中原豺虎，天涯风树有儿啼
大隐寄淮堧，十亩芳塘涵德水	高怀拟绿野，满园花木绣春风
大隐市朝居，日共清谈，自谓谶言几相见	故人生死别，春深病榻，岂知后约已无凭
大雅云亡梁木坏	老成凋谢泰山颓
大风歌汉	同日咏霓
大鱼吃小鱼，小鱼吃虾，虾吃水，水落石出	溪水归河水，河水归江，江归海，海阔天空
天上垂衣明藻火	日边珥笔颂星云
天上星，地上薪，人中心字义各别	云间雁，檐前燕，篱边晏物类相同
天上星辰应作伴	人间松柏不知年
天上月圆，人间月半，月月月圆逢月半	今年年底，明年年初，年年年底接年初
天上月圆，地上月半，月月月圆逢月半	今宵年尾，明朝年头，年年年尾接年头
天上有池能作雨	人间无地不逢年
天上谪仙，此去依然参桂署	人间隐吏，今来何处问桃源
天上锡麟儿，此是世尊亲抱送	山中闻梵呗，原从灵鹫早飞来
天上麒麟原有种	门前桃李自成春
