好山一窗足	佳景四时宜
英雄功绩昭百世	烈士芳名耿千秋
人民长城坚如钢铁	祖国边防固若金汤
爱兵如子有战必胜	敬民若父无坚不摧
英名万里传虎将	浩气千秋壮国魂
革命烈士永垂不朽	人民英雄有口皆碑
英雄勋业光昭日月	烈士芳名永垂青史
手握五尺保卫十亿	胸怀四化威镇九州
党纪国法金科玉律	群情民意铁壁铜墙
保家卫国新贤女	习文尚武好英儿
又兵又民兵民兼顾	亦劳亦武劳武结合
国法严明百姓皆歌	除害安民万众欢腾
将勇兵精凯歌传大地	山明水秀春色满神州
记宗旨办事一丝不苟	守准则执法铁面无私
展望前程开创四化业	提高警惕紧握手中枪
天高地远，发发命中	赤胆忠心，个个英雄
战士珍惜祖国寸寸土	人民喜爱英雄拳拳心
常备不懈，守岛一条心	齐心协力，建岛一家人
同泽同胞，剪除国耻	如荼如火，严肃军容
能文能武能谱四化新曲	保国保家保卫大好河山
钢枪伴朔风威震万里	红星迎白雪辉映四方
乘东风，稳上航天轨道	创奇迹，猛攻科技尖端
兵不血刃，攻心为上	将自弹琴，夺神方高
溪流欢歌歌唱哨兵卫疆	花卉含笑笑迎战士巡逻
卫国保家为军人天职	同甘共苦得将士欢心
跨骏马保边疆高山列队	握钢枪守国门青松结屏
献身四化鲸鱼跃大海	实现两番雄鹰击长空
面对南风窗口一身正气	驻守经济特区两袖清风
铮铮铁骨，英烈传颂天下	堂堂卫士，战绩永存千秋
互帮互爱，军营温暖如春	为党为民，战士心红似火
美酒年糕，先要拥军优属	挡风御雪，莫忘铁壁铜墙
疏柳依依农家院落添新绿	青松挺挺军属门第多香风
饮露餐风英雄枕戈抒壮志	战天斗地壮士扬眉卫国门
革命前辈，勇驾风云改世界	英雄后代，敢教日月换新天
防贼抓贼，有贼休想漏网	爱岛守岛，是岛都能扎根
创大业，保国防，横马跃刀	振中华，开宏景，荐良举贤
放哨执勤平凡岗位平凡事	迎风冒雪钢铁长城钢铁人
饮水思源，颂歌一曲赞盛世	青梅煮酒，甘露千杯敬英豪
爬山卧雪热血融融化春水	戴月披星丹心昭昭映河山
用汗水作彩墨印染壮丽青春	将钢枪当画笔描绘美好理想
骋九重天，宇宙飞镖穿八极	波四万里，南极红旗耀五星
先烈推倒三山，伟业千古秀	吾辈实现四化，华光万年春
祝捷红花，朵朵献英雄战士	立功喜报，张张送光荣人家
乘风破浪练本领，擒龙能手	披星戴月守海疆，卫国英雄
春回大地，四化建设鲜花艳	喜满军营，两用人才硕果丰
人民英雄，奋斗一生留业绩	革命传统，激励万代展宏图
革命战士忠于革命身献革命	人民军队来自人民心向人民
打天下，革命先烈气吞宇宙	展宏图，英雄战士功盖千秋
练硬功，保边陲，已传捷报	逐豺狼，反侵略，再请长缨
扎根边疆，爱山爱水爱人民	保卫祖国，尽心尽力尽义务
梅为百花魁，首开英雄门第	春是四季头，先访军属人家
身处南疆，向十亿人民奉赤胆	心怀祖国，为四化建设献青春
神州号角长鸣，万民奔四化	太空凯歌高奏，一箭送三星
眼观六路，密切注视世界风云	耳听八方，警惕守卫祖国边防
又红又专，官兵一致部队好	能文能武，军地两用人才多
鱼靠水，水养鱼，鱼水情意重	军爱民，民拥军，军民骨肉亲
守土有责，战士红心昭日月	保疆无私，边陲烈火写春秋
英雄门第出英雄英雄来自群众	光荣人家增光荣光荣属于人民
战必胜攻必克解放军兵精将猛	地尽利物尽用新中华民富国强
赤心骄子有志塞北江南创伟业	热血青年献身天涯海角固边陲
勇攀四化高峰，喜迎新春旭日	搏击万里长空，捍卫祖国蓝天
铁骨惟坚，担万里江山千秋业	柔肠百转，系十亿父老四海情
爱民曲唱遍大江南北，春添美	拥军歌响彻长城内外，国更强
轻骑踏瑞雪严冬自铁马蹄下消去	钢枪挥红花新春从战士肩上归来
入碧海，龙王设宴慰劳南极探险队	上蓝天，玉帝举杯迎接卫星通讯兵
军爱民，民拥军，互帮互学谱新曲	水养鱼，鱼游水，相辅相成记华章
你也苦，我也苦，咱们不苦谁吃苦	你有家，我有家，没有国家哪有家
抱神州，托日月，战士卫国担重任	兴中华，绘彩虹，军民联防筑长城
卫国戍边疆，虽然饮雪餐风心如铁石	杀敌为人民，不怕披坚执锐志似金刚
脚踏礁石，怀抱大海，十级风浪练本领	心向灯塔，头顶红星，一支枪杆保国防
热血男儿，华夏子孙，效命疆场何所惜	守如泰山，坚如磐石，一代风流传后人
铁马金戈，兵精粮足，祖国屏障金汤固	红星绿甲，志壮情豪，神州堡垒磐石坚
坚致为上	鼓铸独良
科学昌盛	纸业兴隆
潜山文子	京兆韩康
形佳状彩	外秀中坚
万家灯火	一片光明
天机活泼	大块文章
尺度神韵	剪裁风流
素以为绚	青出于蓝
百业兴旺	九州腾飞
城乡互助	工农联盟
钢花飞溅	铁水奔流
东风劲疾	铁蟒飞驰
电光试晓	炉火回春
杏林橘井	玉札丹砂
双南品重	千镒名高
长途无阻	缩地有方
迎春报喜	跃马登程
地下长河	天上明灯
宁停三分	不抢一秒
机器飞转	电灯常明
一炉鼓响	百炼钢成
多装快运	利国益民
经纶天下	衣被苍生
丝丝入扣	事事顺心
层楼迭起	万众欢欣
安居乐业	喜气盈门
金针凤舞	玉尺龙飞
良工手段	君子心情
百年大计	质量第一
千金日利	三雅风高
云蒸霞蔚	锦簇花团
名驰四海	声上九霄
中流砥柱	大雅扶轮
都传千里话	可省百倍劳
春风来海上	明月在江头
四通更八达	六合为一家
纵横千里	联络四方
织成云霞锦	绣出草木花
服务比优质	装卸讲文明
片时即可达	百里亦非遥
朝发夕至	此感彼通
传千里音信	慰万家情怀
空中悬线索	道上任飞行
学铁人精神	走大庆道路
日行千里	夜航八百
话借交通电	名称德津风
水光遥接汉	虹气上凌虚
和时间赛跑	为人民立功
春潮溢彩	煤海生龙
聚为千亩雪	纺出万机云
云水无拘束	江天任春留
热情送旅客	安全步康庄
置邮传命	为政在人
送九州书信	传四海佳音
往来送轨辙	出入在通衢
经邦成大业	煮海仰宏猷
乘胜前进	捷足先登
两轮如日月	一袖定乾坤
车辆如梭去	佳音似电来
冷江映波月	锑都歌九天
日送千家信	时通万户情
无浪行千里	有风送万程
巧手千家衣	美化四季春
点缀身上锦	打扮人间春
当攻关闯将	做长征先锋
不借风帆力	全凭水火劲
飞车连万户	银线通九州
心中春浩荡	井下日光华
经营有大志	建造集良工
开时代列车	做建设先锋
钢钎一笔画	铁水万卷诗
刀剪千色布	针缝万种衣
协力山献宝	同心土变金
春风翻雪浪	炉火荡金波
万家资利用	五彩焕光华
旋转疑下雪	推机似出云
金乃五行首	银为百花饰
为子孙创业	替民族争光
枝头开玉蕊	树上吐银花
锻炼在火里	清白留人间
银花呈异彩	宝树献金辉
悬将小日月	照彻大乾坤
献身擎大厦	捐躯驾长虹
银灯光宇宙	朗月照乾坤
嶙峋成大器	磊落有良工
闪影同天笑	流光夺月辉
普天开景运	遍地转新机
双肩挑日月	两手绘河山
彩瓷成器皿	优质利民生
丝纶常执掌	经纬自分明
英雄登金榜	模范戴红花
日日夺高产	年年奏凯歌
机器声声喝	肥源滚滚来
广厦连云立	春风送暖来
春风传捷报	凯歌贺新年
活跃城乡市场	沟通物资交流
喜看飞虹联彼岸	且教天堑变通途
飞行力足追风去	乘坐心疑逐电行
车达千村万寨	情送四面八方
天上文光添异彩	人间科技建奇功
脚踏双轮千里马	心怀祖国四化业
支援工农生产	促进城乡经济
祥云春暖千家乐	大海波平万舶来
梅花点点新春到	汽笛声声旅客来
珍禽巧绘可细赏	佳木细描更耐观
人民铁道通四处	祖国资源利八方
千里路朝发夕至	两地货南流北通
愿将天上云霞绮	换作人间锦绣衣
一纸音书传千里	四方喜讯送万家
千年龙潭蒸琥珀	万古仙桥起祥云
跃进争当千里马	任劳甘作老黄牛
梅寄春风劳驿使	葭怀秋水托鸿邮
煤海滚滚翻波浪	钢山巍巍入云霄
电波万道传春讯	鸿雁双翅报佳音
做技术革新能手	当增产节约标兵
万众一心齐努力	百舸千帆竞上游
英雄儿女闯万险	浩荡东风鼓千帆
循规应时凭双线	风驰电掣越千里
人穿时装精神爽	物着彩漆面貌新
高高兴兴上班去	平平安安回家来
大开山门寻珠宝	广纳科技接财神
飞觞共醉天边月	鼓棹长开水上花
文明行车争先进	礼貌服务送春风
消忧去愁身长健	除害灭病品自高
平地四轮争逐电	都城十里快兜风
物华天宝资源富	人杰地灵效益多
乾坤有方能旋转	牛马无知亦效灵
劈山造湖兴水利	采煤发电撒明珠
巧使神机械妙手	劈开鬼各出乌金
滚滚乌金出煤海	皑皑白雪映矿山
炉火冲天明日月	锤声震地响春雷
宝盒丛中藏翡翠	金钗队里护鸳鸯
绿字赤文皆可诵	淡妆浓抹总相宜
云头湘湘开金屏	水面沉沉卧彩虹
游客撒下千般乐	船舟载来一片春
轻黄嫩绿齐生色	姹紫嫣红总入时
好将妙手夸针巧	漫把春光细剪裁
大好河山收眼底	满天云彩铺路基
银镰生彩春潮涌	炉火闪光丽日新
贮在玉壶由人造	结成晶块夺天工
玉甑蒸开天地眼	金槌敲动帝王心
认出庐山真面目	装出罗汉古须眉
银屏生辉照四海	图像放彩乐万家
万紫千红出泰地	七彩五色落人间
邀来日月悬隆准	搅得河山入玉眸
无须人力璇玑动	巧夺天工玉屑飞
镰刀收割胜利果	铁锤绽出幸福花
翠竹编成千样雅	青条做就百般精
剪绿裁红装春色	挑花绣朵美仪容
支农甘酒千滴汗	为国愿献万吨肥
千炉钢水汇成海	万丈高楼耸云天
创名牌状元及第	讲信誉顾客盈门
金碧丹青资色泽	门阁楹器焕光华
铁水奔流映喜报	钢花灿烂织春光
千门万户同时亮	五岳三山共线牵
喜博子金千倍利	时交丑纽万家春
金梭织就千重锦	巧手绣成万朵花
珊瑚架映鲛绡艳	翡翠橱开凤锦斑
沙里淘来金足赤	炉中炼出火纯青
热火朝天为四化	纤柴着意临万家
事业已归前辈录	典型留给后人看
绘声绘色真姿相	有彩有光巧工程
闪烁金光奇同天笑	玲珑玉照巧夺月辉
翻天覆地山河壮	紫阳红尘日月新
春入船唇流水绿	人归渡口夕阳红
地辟康庄无往不利	车同轨辙到处咸宜
光明铸出千秋鉴	气冷凝成一片冰
豪情催沸千炉铁水	汗水浇开万吨钢花
玉瓶积香清泉可酿	调庭春色生涯日佳
密林深处婆娑舞	巧匠手中妙态生
穿山越岭交通无阻	乘风破浪行驶安全
渭川侯封南山劲节	淇园君子东箭奇才
水从碧玉环中去	人在苍龙背上行
一贯薪传金波生色	十分火候银冶腾辉
祖国建设蒸蒸日上	工业生产欣欣向荣
滚滚蓝炭江水电	熊熊乌金太阳能
水陆舟车四通八达	城乡客货纷至沓来
酿之太和醇醇有味	酒以言德郁郁生香
破浪乘风送君千里	浮槎泛海涉彼五湖
如琢如磨砌成碧玉	绘香绘色辉映丹墀
淡妆浓抹调新色	顽绿阁红发古香
日彩月华文成五色	云罗霞绮锦致七彩
水草精华独工点染	风萍事业定卜兴隆
九州春光添风采	科学技术改乾坤
双手盖起高楼大厦	两足踏遍地北天南
橘井泉香杏林春暖	芝田露润蓬岛花浓
喜报频频频报喜	欢心事事事心欢
一剪喜成百家愿	寸尺巧量万人心
井架刺天石油如水	钻机穿地乌金成山
向自然索取宝贵财富	为人类开出幸福源泉
金碧辉煌藻文富丽	香木雕筑花样新奇
为时代列车奠基铺路	钢花飞溅为九州织彩
机器如日月长年运转	产品似江河万里奔腾
树雄心攻克生产难关	立大志攀登科学高峰
技术革新进步更进步	科学实验成功再成功
挖掘人才开致富新路	引进技术搞名优产品
重科学爱科学用科学	树新风创新风赞新风
千锤百炼炼出工人力量	朝熔夕铸铸成团结精神
鼓拼搏雄风宏开伟业	立图强壮志振兴中华
先进帮后进日乘千里马	今年胜往年更上一层楼
江山多娇放开千里目	大厦有阶更上一层楼
效率高速度快喜报频传	劳动好贡献大红花争辉
开源节流大搞增产节约	比学赶帮掀起竞赛高潮
钢花耀云彩山河织锦	铁水腾火龙大地争春
解放思想学习先进技术	加快步伐赶上国际水平
无私无畏坚持真理树正气	有胆有识克服阻力破难关
企业自主干群意气风发	质量优先生产捷报频传
旧岁在凯歌声中载入史册	新喜于开门红里铺满阳光
创伟业群英奋起争光华夏	迎新春百花竞放斗艳古城
瑞雪飞梅花笑景色绚丽	凯歌奏捷报传战果辉煌
给民造福，可上九天揽月	为国争光，敢入四海擒龙
方便安全邮通五洲四海	迅速准确电传四面八方
机器隆隆车间盛开优质花	笑语阵阵班组齐唱胜利歌
爱厂如家养成节约习惯	奉公克己发扬艰苦精神
想当年吐绿躯巍千鸟集	观此日颜新态媚万家楼
一代风流，步伐矫健奔四化	八方志士，雄姿勃发建奇功
东西往来满载春风行千里	南北驰骋运送笑颜进万家
产销对路，多产多销多积累	质量达标，保质保量保安全
东风浩荡革命形势无限好	大地回春生产热情分外高
座座平炉，钢花飞溅传捷报	排排井架，油浪翻腾奏凯歌
大地春回祖国山川放异彩	艳阳高照中华儿女绘新图
创优革新，须知效益即生命	争分夺秒，牢记时间胜金钱
爱厂如家，提倡文明争贡献	以苦为荣，振奋精神献青春
青春比烈焰推动时代巨轮	汗水汇甘霖浇灌四化红花
改革花艳，水色山光皆诗画	建设果甜，年丰人寿尽欢歌
创新局，展宏图，集思广益	破旧规，搞改革，人尽其才
扬长避短，人尽其才，物尽其用	开源节流，取之以道，用之以时
损人有过，轻人失礼，助人高尚	败业可耻，守业无能，创业光荣
站上高处，看到远处，干在实处	懂得昨天，立足今天，奔向明天
手把焊枪，描绘宏图，焊牢经济实体	脚踏实地，发展有色，踏进改革前列
钢河、煤河、石油河，齐奏胜利凯歌	金山、银山、花果山，争绘丰收画图
袅袅白云，不尽帆飞，三峡浪开东海日	翩翩黄鹤，无边霞涌，五洲客醉楚天春
文坛香溢	艺苑花荣
胸中波澜	笔底风雪
诗情画意	琴韵书声
热诚爱国	苦心育人
资料精粹	信息总汇
云霞万影	丝竹千声
学知不足	业精于勤
钻研科学	攀登高峰
十年树木	百年树人
影坛新苗	艺苑百花
琴瑟在御	笙磐同音
画以流美	书以言情
戏有高雅	台无俗情
文生异彩	艺展新姿
风华正茂	意气方遒
韩康利薄	橘井泉甜
文章江海	书籍林泉
普及教育	振兴中华
万民康健	四海春晖
读万卷书	行万里路
祖国花朵	来日主人
聚蓄百草	平康兆民
五车图集	万轴琳琅
紫台绿帙	黄卷青箱
华佗再世	扁鹊重生
鸾笙竹管	铁板铜瑟
培育英才	钻研科学
精印文史	扬名海外
五车诗胆	八斗才雄
发扬风雅	歌舞太平
棋逢对手	将遇良才
山河一统	松雪四家
寓教于乐	动情以真
延年益寿	救死扶伤
八风从律	六吕调阳
书山觅宝	学海泛舟
叶茂披翠	花繁飘香
古为今用	推陈出新
开卷有益	温故知新
冬练三九	夏练三伏
唱时代赞歌	写人民心声
漱六经芳润	储二酉清华
一着不慎	满盘皆输
是乃仁求	必为良医
树立高风尚	培养新道德
奇文共欣赏	疑义相与析
砚生云海	笔舞龙蛇
悬壶市药	铸镜鉴邪
一代园丁乐	四时桃李荣
文坛有芳草	艺苑多奇葩
笔浮梅蕊	文凝雪花
向阳花朵	茁壮新苗
文心清若水	诗胆大如天
艺苑百花俏	文坛万象新
齐唱四化	巧绘三春
岐黄事业	菩萨心肠
图书腾风彩	文笔若龙翔
学海凭鱼跃	书林任鸟翔
绳锯木断	水滴石穿
神农尝草	岐黄典医
教育呈新貌	园丁育好苗
文坛生异彩	艺苑溢芬芳
江山助磅礴	文物照光辉
校园还春绿	桃李向阳红
残碑留古迹	妙墨焕中华
精研中外史	洞察古今情
传四海美景	映五洲英姿
求有用知识	学实际本领
东壁图书府	西园翰墨林
藏古今学术	聚中外佳作
苦读有恒	好学无时
文章千古事	风雨十年人
书法扬道义	翰墨播文明
胸中具成竹	舌底翻莲花
甬江新曲调	槐国旧衣冠
书中乾坤大	笔下天地宽
交古今善士	读中外奇书
大写英雄谱	高唱进军曲
欲知千古事	须读五车书
革古今之作	罗中外之章
谱翻新乐调	唱出大风歌
和风吹绿竹	清韵入朱弦
守四项原则	育一代新人
丹青饰山水	金碧绘楼台
弦中参妙理	曲里寄幽情
游戏一席地	艺趣万人心
二句三年得	一吟双泪流
布景开银幕	登场运铁机
勤奋出天才	实践得真知
笔力千军阵	词源万马兵
吟哦出新意	坦率见真情
推窗观天地	挥毫凌云烟
事业贵精细	文心重雕琢
诗从肺腑出	情由心血来
文章溯古迹	博物寻原宗
和声鸣盛世	雅乐协元音
同心追科学	并肩攀高峰
意飘云物外	诗人画图中
演唱今昔事	讴歌盛世情
竹院生幽静	柯山岁月长
杏林三月茂	橘井四时春
挥毫列锦绣	落纸似云烟
妙能齐尔齿	慧岂拾人牙
落笔赞五岳	成诗颂九州
苦读千年史	笑吟万家诗
独话灵芝草	当归何首乌
著书掠日短	舞剑伴星稀
园丁育桃李	雨露润禾苗
乐荐千里马	勇攀万仞峰
草香千品药	树有百年花
药香沾笔砚	波影上檐楹
寻天地行踪	觅宇宙究竟
春官桃李战	昭代岁时新
桃李满天下	雨露遍神州
良医同良相	用药如用兵
教育千古业	花红一园春
今日祖国花朵	明天建设英才
执血浇灌幼苗	忠心哺育鲜花
雄心挟雷电	壮志卷风云
不惜千金价	惟求一体仁
远求海内珍本	快读人间良书
大地江山如画	满园桃李争春
反映时代脉搏	振奋革命精神
继先烈遗志	做四有新人
以宇宙为教室	奉自然作宗师
知不足者好学	耻下问者自满
培养一代新秀	促进两个文明
株株桃李争艳	朵朵葵花向阳
发展体育运动	增强人民体质
以六书传四海	愿一刻值千金
猛跨道道难关	求索万千命脉
高唱胜利凯歌	抒发爱国深情
打开科学宝库	培养建设栋梁
忠诚教育事业	塑造美好心灵
园丁呕心沥血	桃李斗艳争奇
春风化雨润桃李	丹心育苗树栋梁
尊师爱生风尚美	勤学苦练气象新
文成蕉叶书犹绿	吟到梅花字亦香
学海无涯勤可渡	书山万仞志能攀
鲜花朵朵园丁意	硕果累累桃李情
培育祖国新花朵	抚育革命接班人
一身许国传科技	两袖新风作师表
白发喜见迎春柳	丹心笑种向阳花
养德增智强体魄	爱国尚俭近工农
神州满园桃李艳	中华遍地栋梁材
云苑喜栽新著稿	风帘闲校旧抄书
此日梓楠同受范	他年桃李广培材
攀山有志千条路	学业无心万事空
图文并茂益读者	书画同源扬国风
石刻六朝传百本	风流九代仰千秋
且喜满园桃李艳	莫悲两鬓霜雪寒
千日盼槐绽百花	一心愿笋长成林
园内桃李年年秀	校中花朵时时香
桃李园林结硕果	红专道路出贤才
春催桃李遍天下	雨润栋梁满九州
浩浩春风催桃李	孜孜园丁育栋梁
春到校园别有景	风来书案自生香
至乐无声惟孝悌	太羹有味是读书
银幕生辉百花放	舞台活跃万象新
诗无流俗形声正	字不矜张结构安
远求海内珍藏本	快读当今畅销书
人梯巧搭登攀路	心血勤浇栋梁材
传播四海新文化	推广九州有用书
长留天地无穷趣	最爱书田不老春
文坛英才挥彩笔	艺苑新秀唱颂歌
古今学术藏满架	中外精华聚一厅
万卷书中寻佳语	五线谱上觅强音
笑看文苑芳斗艳	喜听艺坛鸟争鸣
日出万言生花笔	风行四海传惠书
庭松不改青葱色	盆菊仍霏清净音
才能伴信息显现	理想随事业腾飞
静若山容仁者寿	文为国粹圣人师
科学通天前程远	知识为阶道路宽
新声谱出扬州慢	明月听来水调歌
荧窗虽小观今古	屏镜不大映乾坤
建成世上惊天业	写出人间动地诗
极尽四时之所乐	自成一家以立言
白雪阳春传雅曲	高山流水觅知音
笔舞龙飞书壮志	墨落云起赞英雄
大地山川生笔底	九州人物出毫端
挥将日月长明笔	写就雷霆不朽文
画其容惟肖惟妙	描圣像越看越神
乐引清泉浇桃李	甘洒碧血育人材
舞台演出千家暖	银幕送来万户春
一口叙述千古事	双手舞动百万兵
当头炮妙手放响	卧槽马巧计牵出
紫毫写出光明亮	宣纸画成丰收图
两手托起千秋将	孤灯照出万古人
腹藏明月描凤舞	胸有春阳笔花香
喜看祖国添锦绣	笑挥彩笔绘新图
舞台百花吐娇艳	艺苑万象展新容
纳士招贤贤于贤	选才任能能胜能
尊师重教兴美德	敬老爱幼立新风
春催桃李朵朵芳	果满枝头颗颗香
洒下园丁千滴汗	赢来花卉万般娇
笔底纵谈中外事	胸中洞彻古今情
欣逢盛世修新志	乐著文章享后人
三尺讲台连广宇	一片丹心育春苗
文章尔雅从无俗	诗赋风流自有神
脚下行程千里远	腹中书贮万卷多
斗室能观天下事	方箱可纳地球人
爱生自能受生爱	师人方得为人师
春笋破土根根好	陈泥护花朵朵香
种田选种莫随便	学子读书要认真
雅怀深得花中趣	妙虑时闻笔里香
园丁励志栽桃李	伯乐诚心荐英才
知识海洋勤是岸	科技高峰志为梯
情通三尺讲台外	志在一寸粉笔中
精雕白玉千层艳	细教英才百倍豪
齿牙何惜留余患	金玉其相具美观
一支粉笔开巨锁	满腔豪情绘宏图
巧匠呕心琢美玉	严师沥血育英才
曲尺画成方圆器	直线调就栋梁材
愿做春泥护绿李	甘当人梯架金桥
园内桃李年年艳	校中栋梁节节高
荟萃馔馐香四海	芬芳桃李遍三秦
书山有路勤为径	学海无涯苦作舟
儿童乐园无限好	祖国花朵别样红
黑发不知勤学早	白头方悔读书迟
桃李花开春天里	园丁汗洒苗圃中
饮露幼苗争绽蕊	迎春老树发新芽
科研路上无险阻	攻关阵前有能人
幼儿园内春风满	向阳花开遍地红
喜看桃李满天下	乐见新人绘山河
中外图书皆有文采	今古名言俱备精华
因材施教成早果	定向培养出好材
宝剑锋从磨砺出	梅花香自苦寒来
攻千重关心怀天下	读万卷书志在四方
祖国行行出状元	体坛处处有新星
彩笔凌云腾蛟起凤	春风化雨绽李开桃
卫星同步航天际	宝树生财遍地栽
夺冠不畏压力大	争标何惧险峰多
寸寸光阴我宜惜此	空空色相人其鉴诸
欲开科学千重锁	当破世界万卷书
指点江山春光满目	激扬文字彩笔生辉
笑看文艺群芳斗艳	喜听艺坛百鸟争鸣
艺苑百花争奇斗艳	文坛新苗战雪傲霜
采冰山雪莲不怕路险	探骊龙珠宝岂畏海深
推陈出新五光十色	百花齐放万紫千红
广采祖国各地新鲜事	播放城乡人民爱听歌
银幕映红花红花吐艳	影坛咏绿水绿水长流
文艺舞台百花齐放	教育战线万木争春
甘做园丁为祖国添秀	愿为春雨育桃李成材
红色电波传四海佳话	荧光屏幕映五洲风光
科研喜讯似春潮涌现	生产捷报如雪片飞来
艺苑乐地，五光十色	歌台舞榭，万紫千红
水滴石穿，业精不舍	海阔天高，学贵有恒
掏尽丹心谱写园丁歌	洒满汗水当好育花人
坚毅自学，博深无限	创造发明，报国有门
推崇科学笑迎百花艳	倡导文明喜看万象新
文坛映彩出多少新秀	金笔生辉写时代强音
喜看园丁辛勤一堂秀	笑谈桃李成材四海春
潜心科研，书读十载	造福人类，功在千秋
神州腾飞，科学关键	中华崛起，教育先行
辞旧岁万众高歌丰收曲	迎新春彩笔精绘四化图
发展科学，广开宝库	繁荣经济，振兴中华
祖国昌盛有赖教育振兴	四化实现须靠科技发展
跋千山涉万水寻方采药	进万户走千家治病医伤
眼观六路，分析社会动态	耳听八方，了解民众要求
春花遍地，甘做园丁勤灌溉	雪岭摩天，愿为志士勇攀登
一往无前攻克文化堡垒	百折不挠攀登科学高峰
百花齐放喜看神州铺锦绣	万众一心共挥彩笔绘新图
学海不深藏自古英才凭自励	书山须探奥从来绝顶靠人攀
八尺银幕通晓古今中外事	一盘胶带收揽天下众人心
豪杰挺生，遂今名山萦旧梦	英才乐育，犹看学生步青云
卫星上天空揭开宇宙奥秘	潜艇入水底探索海洋珍藏
妙手播春风，笺笺良方除百病	慈容祛暮霭，耿耿丹心暖万人
重德重才潜心造就新一代	管教管导全面培育接班人
古为今用，认真发掘文学宝库	推陈出新，积极扶植艺术新花
文艺舞台百花齐放朵朵争艳	学术论坛群星灿烂颗颗生辉
学海艺海能手芸芸，众星媲美	文坛诗坛英才济济，群芳争妍
一支教鞭，点开多少学生心窍	几色粉笔，描出无数科学蓝图
冲锋陷阵，攻克科学技术堡垒	争分夺秒，赶超世界先进水平
学知识，学业务，铸千秋大业	讲文明，讲礼貌，树一代新风
春风拂文坛，且喜文坛千树绽绿	红日照艺苑，更贺艺苑百花正红
彩笔传情，高歌神州大地风光好	丹霞达意，赞颂中华儿女俊杰多
科学攀高峰，沙场宿将刀未老	知识开宏宇，园圃新秀剑正锋
志于道据于德依于仁而后游于艺	修其身齐其家治其国必先正其心
天线成林，刺穿乡野千年寂寞夜	荧屏如画，收尽神州万里沸腾春
立科学志，读科学书，当科学家	说老实话，办老实事，做老实人
四体不勤，五谷不分，孰为夫子	小疑必问，大事必闻，才算学生
有志者做有志事，有志民族愈有志	文明人树文明风，文明古国更文明
格物致知深究数理化，誓达科技峰顶	勤学苦练发展德智体，定为祖国争光
学文化长知识大干四化	习武功强身体保家卫国
绿茵场上跃猛虎	碧水池中腾蛟龙
练身体练意志打出好风格	胜不骄败不馁赛出新水平
向世界纪录瞄准	为祖国人民争光
杰出健儿，翩翩小将	高超绝技，鼎鼎大名
体坛新秀创奇迹功彪青史	中华健儿立壮志威震全球
路线对政策好前程似锦	身体壮生活美诸子吉祥
大智大勇大有作为创伟业	敢拼敢搏勇夺桂冠立新功
体坛新秀朝气蓬勃绿竹吐翠	沙场战将雄风铮铮宝刀未老
学武术传技法承前启后	效先烈展宏图继往开来
运动健儿冲出亚洲誉满四海	体坛俊杰腾飞世界名扬八方
百米冲刺靠千日苦练作后盾	一朝争先有十载寒暑为前驱
炎黄子孙武精力壮犹如钢筋铁骨	华夏儿女侠肝义胆何惧虎豹狼豺
冲出亚洲中华儿女扬眉吐气	走向世界神州英杰先声夺人
赛场上红男绿女舞翩跹姿态英俊	骄阳下刀光剑影相辉映身手不凡
夺桂冠金杯中盛满辛勤汗水	攀高峰奖牌上记载奋斗历程
起死回生通妙诀	救死扶困羡良医
户户皆为清洁户	人人都是健康人
妙手回春治百病	满腔热血为人民
快刀无声除疾患	神术有情解病危
永求良药医百病	发挥妙手治千人
跋千山行医送药	涉万水救死扶伤
巧手医百病	红心暖万家
模范卫生院	生产先进家
人人爱清洁	家家讲卫生
老少喜康泰	城乡乐丰盈
病灾不染清洁地	福寿常临健康家
健康门第春常在	卫生人家庆有余
除三山五岳病痛	收四海九州精华
神农本草香千里	岐伯医学播五洲
注意卫生延年益寿	讲究科学除病去灾
入室有言皆是药	出门握手便知心
手巧心红医百病	艺高胆大治千疮
欲向市中求妙药	须知海内有奇方
发掘祖国医学宝库	保障人民身体健康
中西交流取长补短显妙手	新旧互学救死扶伤展神通
实行计划生育老少康乐	推广合作医疗人寿年丰
城乡兼顾发展保健事业	中西结合提高医疗水平
丹心妙手白衣战士除顽疾	银针草药人民医生创奇迹
讲卫生天增岁月人增寿	除疾病春满神州福满门
古今未见一人服仙丹长生不老	中外已闻万例凭锻炼益寿延年
白衣红心，舍己为人，先防再治	高术精艺，扶伤救死，妙手回春
踏群山，尝百草，废寝忘食钻业务	走千家，串万户，救死扶伤为人民
五谷丰登凭劳动得来不是靠天吃饭	四季健康赖卫生讲究何必拜佛求神
香分花上露	水汲石中泉
步月凌波去	登堂入室来
和声鸣盛世	鼓乐庆升平
挥毫刺锦绣	落纸如云烟
剪彩为歌袖	裁云做舞衣
不愁夕阳去	还有夜珠来
尝来皆适口	咽去自清心
嘉名称博士	大礼重高冠
冷暖随人意	缠绵动客心
光华能照乘	身份重连城
光照天边月	寒凝涧底泉
开源广辟财富	储蓄积累资金
云霞分五色	锦绣聚千纯
台上冰华澈	人间月影清
有材皆中选	适用乃为宜
虽云毫末技艺	却是顶上功夫
雪花资润泽	香水溢芬芳
权衡凭正直	轻重在公平
同事亲如兄弟	商店胜似家庭
乐滋滋为四化	笑盈盈迎顾客
信誉为尊	用户至上
