一 屋 一 橼 ， 一 粥 一 饭 ， 檀 樾 膏 脂 ， 行 人 血 汗 。	=>	一 时 一 日 ， 一 月 一 年 ， 流 光 易 渡 ， 幻 影 非 坚 。
树欲宁而风不静，子欲养而亲不待，奉母百年岂足？哀哉数朝卧病，何意撒手竟长逝？只享春秋六二	=>	爱国壮志尚未酬，育我身矣恩未报，愧儿七尺微躯，幸也他日流芳，应是慈容无再见，难寻瑶岛三千
树欲定而风不静子欲养而亲不待奉母百年岂足哀哉数朝卧病何意撒手竟长逝只享春秋六二	=>	爱我国矣志未酬育我身矣恩未报愧儿七尺微躯幸也他日流芳应是慈容无再见难寻瑶岛三千
楹联成对乃祖国独特艺术源远流长形声音义得其工巧则妙趣横生雅俗共赏赏不尽古往今来佳句似锦	=>	学会立基为人民群众社团志同道契切磋琢磨求诸精深当英才辈出少长咸集集合起四方八面胜友如云
歌 舞 日 方 中 ， 顾 美 景 良 辰 ， 一 曲 箫 韶 千 古 节 。	=>	楼 台 天 不 夜 ， 极 赏 心 乐 事 ， 六 街 灯 火 万 家 春 。
此地可停骖，剪烛西窗，偶语故乡风景：剑阁雄，峨嵋秀，巴山曲，锦水清涟，不尽名山大川都来眼底；	=>	入京思献策，扬鞭北道，难望先哲典型：相如赋，东坡文，太白诗，升庵科第，行见佳人才子又到长安。
此巴蜀巨观只一层楼通八方气撑半壁天巫峡十二峰嘉陵三百里好山好水都从眼底逢迎洵可乐也洵可乐也	=>	当风云清美携几壶酒约数友人论两间事纵横廿四史上下五千年大嚼大啖浇尽胸中垒块岂不快哉岂不快哉
毕生不茹荤，信乎房琯，为永师后身，为排袁而三黜，虽败犹荣，若老谋能成，今何至乱世；	=>	重暮遘移朝，不似杨彪，为曹丕屈节，曾荐我而冒险，无言竟逝，叹孤忠莫白，古之伤心人。
水 有 虫 则 浊 ， 水 有 鱼 则 渔 ， 水 水 水 ， 江 河 湖 淼 淼 。	=>	木 之 下 为 本 ， 木 之 上 为 末 ， 木 木 木 ， 松 柏 樟 森 森 。
江 山 似 画 莺 啼 序 山 河 有 幸 花 争 放 新 春 喜 饮 丰 收 酒 。	=>	岁 月 如 诗 蝶 恋 花 天 地 无 私 春 又 归 佳 节 乐 吟 改 革 诗 。
沧桑多迁，陵谷多易，教宗多劫，国土多沦，亭阁鸡虫看得失，无一物当情，历尽成住坏空，觉来栩栩；	=>	天地不大，毫末不细，大椿不寿，朝菌不短，微尘世界何爱惜，观我生自度，仍行慈悲喜舍，想入非非。
沧桑多迁，陵谷多易，教宗多劫，国土多沦，亭阁鸡虫看得失，无一物当情，历尽成柱坏空，觉来栩栩；	=>	天地不大，毫末不细，大椿不寿，胡菌不短，微尘世界何爱惜，观我生自度，仍行慈悲喜舍，想入非非。
法会宏开教行并进欲得千机普育利钝齐修是故略资通途偏崇特别以华严圆通菩提之妙因唯在导归净土	=>	讲筵大启理事双诠拟求万派朝宗圣凡等益由兹拣去自力注重佛加冀娑婆具足惑业之含识现生同赴莲池
泪 酸 血 咸 ， 悔 不 该 手 辣 口 甜 ， 休 道 世 间 无 苦 海 。	=>	金 黄 银 白 ， 但 见 了 眼 红 心 黑 ， 哪 知 头 上 有 青 天 。
洛水元龟初献瑞，阴数九，阳数九，九九八十一数，数通乎道，道合元始天尊，一诚有感	=>	岐山丹凤两呈祥，雄鸣六，雌鸣六，六六三十六声，声闻于天，天生嘉靖皇帝，万寿无疆
淡 淡 黄 昏 烛 光 乍 亮 抚 琴 传 情 秋 夜 寄 语 君 安 好 。	=>	濛 濛 拂 晓 朝 霞 初 现 临 窗 凭 望 更 念 书 郎 泪 滴 涟 。
澳庙新得天然坐天乙向天门仗天力镇天涯丽水涌南天恩波光满天天布鸿祥俨如九天阊阖开宫殿	=>	香火永承国命护国家生国器庇国民兴国利声名溢中国英灵在粤国国来燕贺疑是万国衣冠拜冕旒
灯 月 灿 华 筵 ， 留 得 元 宵 余 景 ， 问 当 场 谁 惜 千 金 一 刻 。	=>	笙 歌 沸 羽 曲 ， 果 然 大 地 长 春 ， 能 胜 赏 再 来 五 夜 三 更 。
片 片 丹 枫 如 火 如 霞 满 山 赤 红 崇 敬 先 烈 行 大 祭 。	=>	节 节 翠 竹 似 剑 似 枪 遍 野 明 亮 欲 刺 贪 官 不 商 量 。
物则棉铁，地则江淮，盖其自任天下之重如此，远处着眼，近处着手，凡在后生，宜知勉矣；	=>	早岁文章，壮岁经济，所谓不作第二人想非耶，孰弗我有，孰是我有，晚而大觉，尚可憾乎。
物华天宝桂花万里香山路神通东南西北春风桃李花开日高山喜道十口心思思学思贤思伟业	=>	人杰地灵风月九霄流岚殿读遍春夏秋冬秋水长天凤唳时幽殿敬曰寸身言谢谢天谢地谢恩师
率生徒数十人转战而来，持三尺剑，著等身书，亦名将，亦纯儒，独有千秋。罗公不死；	=>	报国家二百年养士之德，复卅六城，杀亿万贼，是忠臣，是良友，又弱一个，湘水无情。
甫四十即封疆未五旬即宰辅经文纬武盖代勋名历数寰中荡寇域外和戎力任其难相业巍巍千古少	=>	位三公为太傅食万户为通侯重地隆天饰终典礼惟是边警仍殷銮舆尚远殁而尤视忠心耿耿九原悲
由牧令起家，不十载简在帝心，而监司，而开府，卅年来勤政惠民，允推柱石勋名，岂仅偏隅资保障；	=>	从成都返旆，只九日身骑箕尾，若闽浙，若江淮，千里外报功崇德，何况葭莩戚谊，曾陪下座在门墙。
痛不哭，苦不哭，屈辱不哭。今年诚何年？四个月前，流过两行泪痕，又谁料，这番重为先生湿；	=>	言可传，行可传，牙眼可传。斯老真大老，三十载来，打出一条血路，待吩咐，此责端赖后死肩。
痛吾父幼小困空厄，尝备炎凉，劬芝七十又六龄，到老来只剩一身孤苦，易箦呼儿难眠目	=>	感不孝早岁事戎机，历尽艰危，转战二万五千里，看今日挥戈大江面北，誓歼倭寇奠先灵
白 云 有 形 凝 聚 创 意 描 峰 涂 湖 寻 求 美 景 绘 山 河 。	=>	秋 水 无 痕 挥 舞 彩 笔 抒 情 咏 志 满 怀 豪 气 写 华 章 。
皓 月 当 空 繁 星 闪 烁 辉 映 大 地 光 照 寒 宫 耀 嫦 娥 。	=>	落 日 余 晖 斜 阳 沐 鸦 月 上 东 山 银 泻 兰 闺 照 美 人 。
盛治之谓大同，物吾同与，民吾同胞，仁寿愿同登，我同侪、同德、同心、同济以和，吴越犹一家也；	=>	析县本名嘉善，勉为善人，尉为善俗，经营成善举，诸善士、善徒、善述、善无不报，古今有二理欤。
祢衡一鹗，祸在矜才，胡我公活人，而亦罹此酷也？狱吏太无知，恨未收几卷遗书，长留天地；	=>	吴普五禽，行之大效，岂后生数典，或竟失其传耶？户枢终不蠹，窃愿保百年祛病，便是神仙。
种柳自成春，挂起长条短条，化作离绪别绪，绾住郎心妾心，千三百里东风，总难解恨；	=>	吹箫人似玉，听残前曲后曲，想到此生他生，忘却今夕何夕，二十四桥明月，都要销魂。
种邵平瓜，栽陶令菊，补处士梅花，不管他紫姹红嫣，但求四季常新，野老得许多闲趣；	=>	放孤山鹤，观濠上鱼，狎沙边鸥鸟，值此际星移物换，推愿数椽足托，晚年养未尽余光。
秦中自古号帝王州，泪眼看河山，伏戎在莽，饿莩在途，仗儒吏二三策经营，奠兹百族；	=>	国史付他年循良传，归魂隔汾渭，羁宦不生，乡贤不死，争天门十六峰光气，自有千秋。
积病以多劳，既忙婚嫁，又窘米盐，复追随夫婿宦游，只累他巾帼一个人，送到土中呼负负	=>	藐躬之不死，远念祖宗，近怜儿女，更关系地方民命，待做完国家诸大事，再来天上会卿卿
称六太爷上六旬寿欣占六月六日良辰六数适相逢曾听得张陆先生大踏步闯进门来口叫六哥还旅顺	=>	坐三年监陪三次斩赚得三代三品封典三生愿已足最可怜达三故友小钱头不如咱洒冤沉三字赴黄泉
立 品 如 岩 上 松 ， 必 历 千 百 载 风 霜 ， 方 可 柱 明 堂 成 大 厦 。	=>	俭 身 若 璞 中 玉 ， 经 磨 数 十 番 沙 石 ， 及 堪 琢 玉 玺 宝 庙 廊 。
笔承迁固，细书秦皇功业，夷吾经纶，弘羊平准，详考博证历春秋，学跻坟典，公去矣，自有文章卓千古；	=>	帐继融舒，长忆昆阳疠疫，渝州风雨，旧国遭逢，面教手挚顾寒暖，情比慈亲，心哀哉，空洒血泪沥九泉。
策河者三，命农者三，建学校者三，既复揽英接秀吐握者三，政报三年，公署上上考而公且去	=>	簪花第一，饮泉第一，守江山第一，故应捍患御灾治平第一，化先一郡，民皆皞皞如而民不庸
绛灌功名，千年如生，痛袭荆陷桧，两皆未用功名，终是人国不祥，故人国即从而陨获；	=>	江湖门户，九澧之蔽，稽拒魏禽么，独毅然遮门户，战为地方作卫，斯地方永报以馨香。
维新首戊戌，惟公为变法第一人，为国忘家，忠主遗身，求才若渴，嫉恶如仇，苍苍者天不遗一老；	=>	削剡荐贤豪，为我系诏狱者二载，上无补国，下不救民，生来报德，死不莽丧，茕茕在疚永负是翁。
置身郎署十六年，名心未死，病骨遽销，孀妻弱弟，扶榇旅而归，到此膝前，止存女孤；	=>	回首新安廿二载，馆舍荒凉，知交零落，感旧伤今，向秋风一恸，痛吾门下，又失斯人。
胜 地 据 淮 南 ， 看 云 影 当 空 ， 与 水 平 分 秋 一 色 。	=>	扁 舟 过 桥 下 ， 闻 箫 声 何 吹 ， 有 人 吹 到 月 三 更 。
胜 败 本 无 常 ， 凭 一 步 棋 高 ， 或 成 大 眼 全 盘 活 。	=>	修 为 原 有 道 ， 历 几 番 雪 浴 ， 更 练 梅 魂 万 古 香 。
自受封得氏以来，唐社分支、夏廷疏爵、周家食采、汉室称藩，世禄相承，华胄遥遥光史乘；	=>	有文德武功可溯，阁中藜焰、帐外笳声、堂上蒲鞭、军中旗帜，宗风递衍，同枝密密盛淮肥。
自辛亥、癸丑、丙辰，皆为健将而起革命，失败不馁，成功不居，猛烈进行，此人本国贼所忌	=>	举权利、生命、名誉，并作牺牲以殉共和，独立不移，至死不变，坚苦奋斗，其事较钝初为难
舍 我 其 谁 ， 群 雄 逐 鹿 鹿 死 谁 手 尚 待 一 朝 试 锋 芒 。	=>	天 南 海 北 ， 万 木 争 春 春 在 何 处 但 将 今 夕 放 眼 量 。
舍利子灵光乃众生性德中之妙明本不希奇众生迷性德起惑造业业感差殊遂见灵光有千形万状	=>	阿育王宝塔是诸佛法身内所垂应并非怪异诸佛悟法身持戒修因因行满足始知宝塔遍天上人间
花 甲 重 开 ， 外 加 三 七 岁 月 ， 六 合 插 地 ， 七 层 四 面 八 方 。	=>	古 稀 双 庆 ， 内 多 一 个 春 秋 ， 一 掌 擎 天 ， 五 指 三 长 两 短 。
花径板舆来，自皖而两浙、而三吴、而潇湘洞庭，数千里瞻拜慈云，凤鸟舞、鸾鸟歌，颂无量寿佛；	=>	床头朝笏满，有子为宰相、为节度、为观察转运，五百年特钟间气，玉策贤、金策圣，作中兴名臣。
苍梧偏东桂林偏北惟此地前列平原后横峻岭左黔右郁会交二十四江河灵气集中枢人挺英才天设险	=>	乳泉有亭吏隐有洞最妙处茶称老树柳纪半青文阁慈岩掩映一十八罗汉游踪来绝顶眼底层塔足凌云
苦 尽 甘 来 ， 十 年 寒 窗 苦 读 效 三 皇 五 帝 逐 群 雄 。	=>	师 生 同 喜 ， 一 朝 金 榜 题 名 成 八 斗 奇 才 傲 天 下 。
苦 心 人 ， 天 不 负 ， 卧 薪 尝 胆 ， 三 千 越 甲 可 吞 吴 。	=>	有 志 者 ， 事 竟 成 ， 破 釜 沉 舟 ， 百 二 秦 关 终 属 楚 。
英雄本来佛性，公余匹马登高，携两三宾从，命安排苦笋清茶，纵谈洞里烟霞，山中猿鹤	=>	世事不到禅关，闻说天龙度劫，降十万天魔，愿忏悔善因恶果，莫问生前武肃，死后岳王
莫轻他巴渝下里，楚舞阳阿，古今俗乐亦和平，看四气均调，何必待邹律回温，虞弦解愠；	=>	最好是明月初圆，奇花夜合，儿女多情恼离别，愿一场欢会，绝不愿琴悲寡鹄，瑟怨孤鸾。
莽乾坤靳汝聪明，月余病断送三十春，嗟乎生有涯，知无涯，唤作梦梦天，追忆无非成痛史	=>	好男儿忍弛负担，闺中妇交付几多事，剩了七岁女，五岁子，还有呱呱者，前涂从此悸盲人
莽乾坤靳汝聪明，月余病断送三十春，嗟乎生有涯，知无涯，唤作梦梦天，追忆无非成痛史；	=>	好男儿忍弛负担，闺中妇交付几多事，剩了七岁女，五岁子，还有呱呱者，前涂从此悸盲人。
葆强固之精神，抚边省数年而病，厉忠清之节操，作达官半世而穷，天道杳难知，木坏山颓，苍茫何极	=>	忆追随于京邸，如一家父子之亲，洎隔睽于关河，有千里音书之寄，师恩无以报，人亡琴在，梦想为劳
葬 衣 冠 有 淮 南 抔 土 ， 冰 心 铁 骨 伴 取 岭 上 梅 花 。	=>	殉 社 稷 在 江 北 孤 城 ， 剩 山 残 水 留 得 风 中 劲 草 。
要地正需贤，十五年拥节秉麾，可法可师，文章经济，忆春风送别青门，返旆似嫌君太速	=>	微疴能夺命，廿二日遗函发箧，斯人斯疾，乡邦气数，对秋雨飘零黄叶，抚棺已痛我来迟
观属眼识音属耳尘识尘和合世界建立假识拂坐尘空识灭识灭世坏不住独觉是则名为大慈大悲菩萨摩诃萨	=>	迷即染方悟即净土染净分明轮转因缘构净遗染染尽净亡净亡轮绝自在现前云何更问在此在彼补陀阿弥陀
触境发奇酸，甚便宜节度，错过诗人，经几次标扬，终不足慰大半世飘零，望古兴悲，深知才女多无福；	=>	访曲争痛哭，对殊玉满函，馨香几炷，要这般报答，直抵销得一千场磨折，登楼狂笑，才信青天大有情。
订交伯愚坐上话别慕韩尊前宦海卅余年记曾共事大学堂簪毫政务处又复礼馆新设惇史同修自愧衰庸叨末座	=>	谒合肥君与偕宴抱冰吾从后晨星三五点犹忆移家龙树院曳杖翠微山重以湖涘联床直庐具馔如斯恳款更何人
论才则弟胜兄，论德则兄胜弟，此语吾敢承哉？召我我不赴，哭公公不闻，生死睽违一知已；	=>	世治正神为人，世乱正人为神，斯言君自道了！功昭昭在民，心耿耿在国，古人期许此群臣。
试问二十年磨折，却苦谁来，还家无日，吊月难随恋土魂，报国无门，凌虚只忆销烟事；	=>	岂期两三月欢娱，便离卿去，望雁长空，嗅菊唯缘遮赧色，望鱼长杳，临窗空为掩阑干。
诗称三子，学绩三余，望重三城，福懋三多，寿祝三秋，愿松柯益健，菊节弥坚，文囿词场陪杖履	=>	身历四朝，名高四海，官尊四品，科连四世，堂开四代，况夫妇齐眉，儿孙晋爵，国恩家庆乐林泉
诗酒中人，翰墨中人，江山风月中人，薄宦岂能羁？频年摆脱凡尘，逸兴豪情，跨鹤占扬州胜境；	=>	循吏一传，文苑一传，游侠货殖一传，通材无不可，平昔服膺师训，感恩知己，骑鲸为上相先驱。
说 甚 神 仙 ， 看 千 年 石 洞 开 时 ， 城 郭 人 民 还 是 耕 田 凿 井 。	=>	阅 成 古 今 ， 听 半 夜 金 鸡 叫 醒 ， 兴 亡 秦 汉 都 归 流 水 桃 花 。
贱子无似，德少而辞多，只与郎君同学同志，得母之矜怜，已矣平生，弗俟遭丧犹下泪；	=>	大兄有言，亲亡则身老，莫知人间何世何年，于我乎萧瑟，哀哉此语，孰能处变不伤心。
贺 令 公 声 名 远 播 ， 大 郎 佳 配 ， 高 人 韵 士 来 大 路 。	=>	庆 杨 府 财 运 常 通 ， 吉 星 高 悬 ， 猛 虎 雄 狮 醉 尖 山 。
起居八座，亦多寿、亦多男，先百花生日，祝慈荫长春，凤舞鸾歌，遍浙水东西、洞庭南北；	=>	文昌六星，有上相、有上将，以万石家风，佐熙朝景运，玉昆金友，此荀龙减二、贾虎增三。
辞 众 人 ， 背 井 离 乡 ， 沿 途 洒 泪 ， 鸿 雁 难 寄 一 厢 情 。	=>	迎 新 春 ， 登 高 望 远 ， 临 风 寄 语 ， 海 水 紧 连 两 岸 心 。
辞暹罗太子，为江左高僧；想当年教演西方，心通南海，不知修到几生，才落得四十里袈裟之地；	=>	参大化元机，赞幽明盛世；看此日钵飞时雨，锡挂慈云，乃叹德涵无量，群瞻有亿万载金肉真身。
远哉原自豫章来，纪曾辞九派水、就九面峰，田宅立根基，才勉成诗礼清门、涓湘著姓；	=>	贤者勿为风气囿，所愿读万卷书、行万里路，海天恢局量，莫徒博少年科第、乡曲声名。
追思患难相依，感适馆授餐，谈经讲学，薪传已阅廿年，讵者番频阻风帆，致我迟来，空展遗容成没世	=>	可惜封圻未转，算巡方煮海，陈臬维藩，棠荫仅留三省，恸此际才停露冕，值君小极，误投蠲庳丧斯文
逄比孤忠，岳于惨状，昔人尚尔，于汝何尤，朝局总难言，当偕孝孺先生，奋舌问成王安在；	=>	汉唐党祸，魏晋清流，自古维昭，而今尤烈，海疆正多事，应共子胥相国，抉目看越寇飞来。
逄比孤患，岳于惨狱，昔人尚尔，于汝何尤，朝局总难言，当偕孝孺先生，奋舌问成王安在	=>	汉唐党祸，魏晋清流，自古维昭，而今尤烈，海疆正多事，应共子胥相国，抉目看越寇飞来
遇 丧 事 ， 行 婚 礼 ， 哭 乎 笑 乎 ， 细 思 想 ， 哭 笑 不 得 。	=>	辞 灵 柩 ， 入 洞 房 ， 进 耶 退 耶 ， 再 斟 酌 ， 进 退 两 难 。
遇合自比苏眉山，而匡时过之！勋名满天下、事业满边隅，经济宏敷，若论文章犹馀绪；	=>	才望远超唐燕国，惜入相晚矣！其生有自来、其逝有所为，典型不坠，长留歌泣在环球。
那堪吟白傅诗，琵琶人老，枫荻秋声，叹几个迁谪飘零，相逢处且休说故宫繁华，他乡沦落	=>	此便是邯郸道，虽梦初醒，黄梁久熟，觉毕生功名富贵，霎时间都付与微茫烟水，缥渺江波
金 男 大 ， 金 女 大 ， 男 大 当 婚 ， 女 大 当 嫁 ， 齐 大 非 偶 。	=>	市 一 小 ， 市 二 小 ， 一 小 在 南 ， 二 小 在 北 ， 两 小 无 猜 。
金蛇迤逦游一路高歌送冬去长城欲抬头长江百折归福海南疆北国齐贺华夏千秋盛事中华儿女昂首盼望奥运火	=>	骏马矫捷行四蹄欢唱迎春来黄山早扬眉黄河九曲驾祥云东海西域共展神州万古雄旗炎黄子孙阔步进入世界杯
问你平生所干何事图人财害人命奸淫人妇女败坏人伦常摸摸心头惊不惊想从前千百诡计奸谋那一条孰非自作	=>	来我这里有冤必报减尔算荡尔产殄灭尔子孙降罚尔祸灾睁睁眼睛怕不怕看今日多少凶锋恶焰有几个到此能逃
陈 绮 席 ， 灿 瑶 琳 ， 看 五 夜 灯 繁 ， 恍 似 幻 蜃 横 水 面 。	=>	当 阳 春 ， 歌 白 雪 ， 到 三 更 月 转 ， 何 人 倚 鹤 听 楼 头 。
革满清之命为成功英雄，续革袁氏之命为失败英雄，失败旋成功，算我公造因，众人食果	=>	与专制同生痛过去中国，不与共和同生怅未来中国，未来轶过去，付铜像表德，石柱铭勋
革满清之命，为成功英雄；续革袁氏之命，为失败英雄；失败旋成功，算我公造因，众人食果；	=>	与专制同生，痛过去中国；不与共和同生，怅未来中国；未来将过去，付铜像表德，石柱铭勋。
风 回 山 野 波 争 舞 尊 师 重 教 兴 伟 业 窗 前 细 雨 传 春 讯 。	=>	春 到 人 间 花 怒 开 富 国 强 民 谱 新 章 枝 上 黄 鹂 送 好 音 。
马 车 出 阵 ， 相 士 守 城 ， 楚 河 任 跨 越 ， 忽 报 小 兵 擒 大 帅 。	=>	胜 也 别 骄 ， 败 当 不 馁 ， 心 态 且 放 平 ， 每 从 棋 局 悟 人 生 。
鲁仲连却秦称帝只仗空言信国公扶宋起兵终归无济惟先生倡兴义举凭实力以争转共和古之人未尝有也	=>	离郭能战复两京不闻政治韩欧并文超八代独少功勋乃造物诞降全才抱兼长而莫克竟用天下事将谁属乎
鹿门乃沔南名士水镜知人伏龙凤雏皆俊杰崔徐独谓信然魏何多士屈石韬孟建为有同志才相酬	=>	豫州系汉室后裔高祖风气云长翼德敌万人周程尝称枭雄军无善计奔袁绍刘表不得卧龙亦难飞
黄 花 岗 ， 岗 花 黄 ， 黄 照 碧 血 ， 血 染 黄 花 留 芳 阁 。	=>	绿 水 河 ， 河 水 绿 ， 绿 印 白 塔 ， 塔 映 绿 水 存 真 容 。
黄 花 岗 ， 岗 花 黄 ， 黄 照 碧 血 ， 血 染 黄 花 留 芳 阁 。	=>	绿 水 河 ， 河 水 绿 ， 绿 映 白 塔 ， 塔 印 绿 水 存 真 容 。
鼠肝乎，虫臂乎，前缘未尽今身，红颜白发，泣血千行，骂他造化痴顽，专为人间留恨事；	=>	凤泊矣，鸾飘矣，壮志永埋长夜，玄鹤青蝇，放声一哭，痛此竞争时代，又教商战殒健儿。
龙 烛 画 龙 凤 ， 龙 引 凤 ， 凤 引 龙 ， 龙 引 凤 归 偕 白 发 。	=>	鸳 枕 绣 鸳 鸯 ， 鸳 弄 鸯 ， 鸯 弄 鸳 ， 鸳 弄 鸯 舞 庆 齐 眉 。
龙比烙刑，岳于惨祸，昔贤乃尔，君又何忧？魂魄若有知，应同正学先生，矢口问成王安在？	=>	汉庭党锢，晋世清流，前代如斯，今复再见！国家方多难，当效子胥帮事，留眼观越寇飞来。
龙飞五十有五年，庆一时五数合天，五数合地，五事修，五福备，五世同堂，五色斑烂辉彩服	=>	鹤算八旬逢八月，祝万寿八千为春，八千为秋，八元进，八恺登，八音从律，八风缥缈奏丹墀
